time 	 LH 	 RH
7691	 7691	 7691 
000.020	50.0000	50.0000	
000.033	50.1615	49.8385	
000.083	50.2421	49.7579	
000.145	50.4400	49.5600	
000.237	49.1644	50.8356	
000.271	49.0886	50.9114	
000.351	49.8260	50.1740	
000.403	49.6226	50.3774	
000.473	49.8800	50.1200	
000.524	50.9232	49.0768	
000.595	51.6245	48.3755	
000.660	50.9693	49.0307	
000.705	52.1099	47.8901	
000.786	53.2714	46.7286	
000.848	53.6112	46.3888	
000.897	52.6344	47.3656	
000.957	53.9898	46.0102	
001.016	54.1915	45.8085	
001.080	54.3615	45.6385	
001.144	54.4040	45.5960	
001.204	55.5461	44.4539	
001.268	55.1590	44.8410	
001.332	55.0281	44.9719	
001.397	55.8733	44.1267	
001.457	56.4771	43.5229	
001.532	55.1202	44.8798	
001.596	53.6360	46.3640	
001.660	54.0512	45.9488	
001.719	53.6511	46.3489	
001.782	52.5325	47.4675	
001.847	50.9538	49.0462	
001.912	51.5574	48.4426	
001.958	51.7083	48.2917	
002.017	50.3347	49.6653	
002.095	49.5308	50.4692	
002.159	50.3179	49.6821	
002.212	50.0145	49.9855	
002.282	49.6881	50.3119	
002.347	49.8347	50.1653	
002.411	51.8277	48.1723	
002.472	52.8273	47.1727	
002.531	53.2852	46.7148	
002.595	53.2721	46.7279	
002.659	54.2213	45.7787	
002.719	54.8646	45.1354	
002.785	55.2255	44.7745	
002.847	53.4623	46.5377	
002.911	53.2731	46.7269	
002.972	54.4231	45.5769	
003.018	54.4078	45.5922	
003.081	52.4746	47.5254	
003.144	52.0850	47.9150	
003.204	53.4689	46.5311	
003.268	52.8547	47.1453	
003.332	52.3658	47.6342	
003.396	52.7134	47.2866	
003.456	54.1231	45.8769	
003.525	53.3244	46.6756	
003.596	52.1196	47.8804	
003.659	52.2531	47.7469	
003.720	52.6223	47.3777	
003.781	51.8036	48.1964	
003.845	50.6450	49.3549	
003.909	50.1825	49.8175	
003.969	50.3965	49.6035	
004.030	50.0077	49.9923	
004.093	49.0895	50.9105	
004.157	48.9058	51.0942	
004.217	49.0852	50.9148	
004.281	48.5675	51.4325	
004.345	49.5652	50.4348	
004.411	50.2241	49.7759	
004.471	50.4391	49.5609	
004.524	50.4015	49.5985	
004.598	52.2232	47.7768	
004.645	53.5344	46.4656	
004.721	53.3661	46.6339	
004.784	53.2084	46.7916	
004.840	53.9172	46.0828	
004.910	55.0651	44.9349	
004.970	54.4644	45.5356	
005.021	54.0677	45.9323	
005.095	55.4074	44.5926	
005.158	56.5683	43.4317	
005.218	56.5320	43.4680	
005.284	56.4187	43.5813	
005.342	57.1087	42.8913	
005.413	58.0477	41.9523	
005.471	57.9765	42.0235	
005.526	58.0431	41.9569	
005.596	59.6109	40.3891	
005.660	60.3779	39.6221	
005.716	59.9379	40.0621	
005.782	60.4650	39.5350	
005.848	59.5891	40.4109	
005.912	58.8950	41.1050	
005.971	57.6888	42.3112	
006.024	57.6410	42.3590	
006.097	57.4120	42.5880	
006.159	56.9503	43.0497	
006.212	56.1537	43.8463	
006.284	56.2365	43.7635	
006.347	55.0303	44.9697	
006.412	54.7520	45.2480	
006.471	54.2778	45.7222	
006.528	53.1519	46.8481	
006.594	53.1939	46.8061	
006.658	54.3404	45.6596	
006.719	54.7281	45.2719	
006.783	53.9087	46.0913	
006.846	54.1034	45.8966	
006.911	55.2778	44.7222	
006.972	55.7055	44.2945	
007.031	54.5759	45.4241	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.033	50.0000	50.0000	
000.050	50.0494	49.9506	
000.098	49.8765	50.1235	
000.173	50.1955	49.8045	
000.222	50.6093	49.3907	
000.282	51.2557	48.7443	
000.342	51.6199	48.3801	
000.407	52.4800	47.5200	
000.471	52.9764	47.0236	
000.531	53.5997	46.4003	
000.599	53.7134	46.2866	
000.671	54.5500	45.4500	
000.735	55.3462	44.6538	
000.795	55.9581	44.0419	
000.856	57.3772	42.6228	
000.920	58.4238	41.5762	
000.984	59.4512	40.5488	
001.044	58.8725	41.1275	
001.108	58.8408	41.1592	
001.172	58.7685	41.2315	
001.236	59.2851	40.7149	
001.296	59.1633	40.8367	
001.355	59.1857	40.8143	
001.420	59.0845	40.9156	
001.485	59.5442	40.4558	
001.534	59.2684	40.7316	
001.608	58.3966	41.6034	
001.672	58.3004	41.6996	
001.736	58.0812	41.9188	
001.796	58.4775	41.5225	
001.848	59.6850	40.3150	
001.919	61.3651	38.6349	
001.984	61.8200	38.1800	
002.035	61.6835	38.3165	
002.108	62.4453	37.5547	
002.172	63.6279	36.3721	
002.238	63.8721	36.1279	
002.289	62.5890	37.4110	
002.357	63.0396	36.9604	
002.421	63.5305	36.4695	
002.485	62.9909	37.0091	
002.537	62.5441	37.4559	
002.608	62.1453	37.8547	
002.672	61.8575	38.1425	
002.735	62.2878	37.7122	
002.795	62.3172	37.6828	
002.852	61.7303	38.2697	
002.919	62.0150	37.9850	
002.983	61.9733	38.0267	
003.044	62.7413	37.2587	
003.107	62.3417	37.6583	
003.172	61.3705	38.6295	
003.222	61.4256	38.5744	
003.282	61.5436	38.4564	
003.355	62.0853	37.9147	
003.419	61.5389	38.4611	
003.475	60.6666	39.3334	
003.543	61.3947	38.6053	
003.608	62.6166	37.3834	
003.672	62.5235	37.4765	
003.735	62.5598	37.4402	
003.798	63.7879	36.2121	
003.857	65.2388	34.7612	
003.913	66.4067	33.5933	
003.984	66.3173	33.6827	
004.044	67.4084	32.5916	
004.108	68.8008	31.1992	
004.172	69.6682	30.3318	
004.236	68.8995	31.1005	
004.296	69.1043	30.8957	
004.348	70.1682	29.8318	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.026	50.0000	50.0000	
000.033	51.4169	48.5831	
000.093	51.6846	48.3154	
000.157	51.8776	48.1224	
000.217	52.6964	47.3036	
000.277	53.2782	46.7218	
000.340	53.6461	46.3539	
000.404	53.3447	46.6553	
000.478	52.5939	47.4061	
000.542	52.8121	47.1879	
000.606	53.6518	46.3482	
000.670	54.3707	45.6293	
000.730	52.8504	47.1496	
000.790	53.3090	46.6910	
000.853	54.8075	45.1925	
000.918	54.7115	45.2885	
000.978	53.8648	46.1352	
001.042	54.7417	45.2583	
001.107	55.8082	44.1918	
001.171	55.2431	44.7569	
001.231	54.2051	45.7949	
001.291	55.4621	44.5379	
001.355	56.6667	43.3333	
001.419	56.1299	43.8701	
001.479	56.2565	43.7435	
001.540	56.8219	43.1781	
001.604	57.9662	42.0338	
001.669	58.2723	41.7277	
001.731	57.9191	42.0809	
001.791	58.1431	41.8569	
001.855	59.4680	40.5320	
001.918	60.0962	39.9038	
001.978	60.8442	39.1558	
002.042	60.7284	39.2716	
002.106	61.5540	38.4460	
002.170	61.6076	38.3924	
002.231	60.5657	39.4343	
002.290	60.2636	39.7364	
002.354	60.4206	39.5794	
002.419	60.2720	39.7280	
002.479	59.3286	40.6714	
002.544	58.4781	41.5219	
002.607	59.5943	40.4057	
002.671	60.4153	39.5847	
002.730	59.9227	40.0773	
002.792	58.9638	41.0362	
002.853	59.8993	40.1007	
002.917	61.0002	38.9998	
002.980	61.7117	38.2883	
003.043	60.4470	39.5530	
003.096	59.8918	40.1082	
003.171	60.2138	39.7862	
003.221	61.2052	38.7948	
003.278	60.1591	39.8409	
003.354	58.1536	41.8464	
003.418	58.3000	41.7000	
003.478	59.3942	40.6058	
003.542	58.6016	41.3984	
003.607	56.4029	43.5971	
003.671	55.7758	44.2242	
003.731	57.1465	42.8535	
003.783	56.8256	43.1744	
003.854	55.5596	44.4404	
003.918	55.9093	44.0907	
003.979	56.7510	43.2490	
004.042	56.2586	43.7414	
004.107	56.0415	43.9585	
004.170	56.4414	43.5586	
004.230	56.3269	43.6731	
004.289	55.9656	44.0344	
004.353	56.5485	43.4515	
004.418	57.3835	42.6165	
004.478	56.5613	43.4387	
004.542	55.9419	44.0581	
004.606	55.2142	44.7858	
004.671	54.6509	45.3491	
004.717	52.9769	47.0231	
004.776	52.2325	47.7675	
004.856	51.8160	48.1840	
004.919	50.9281	49.0719	
004.979	50.2911	49.7089	
005.043	50.7031	49.2969	
005.100	51.1027	48.8973	
005.171	50.7604	49.2396	
005.225	51.0848	48.9152	
005.291	51.7022	48.2978	
005.356	52.6356	47.3644	
005.419	52.8491	47.1509	
005.472	52.7498	47.2502	
005.543	51.9468	48.0532	
005.606	52.5603	47.4397	
005.670	52.9794	47.0206	
005.730	52.2082	47.7918	
005.789	51.8322	48.1678	
005.853	52.9236	47.0764	
005.905	53.9253	46.0747	
005.978	53.0687	46.9313	
006.043	51.8145	48.1855	
006.106	52.2503	47.7497	
006.171	53.1072	46.8928	
006.220	52.4317	47.5683	
006.290	51.8288	48.1712	
006.355	51.8309	48.1691	
006.416	52.9765	47.0235	
006.472	53.4523	46.5477	
006.542	52.3941	47.6059	
006.607	51.6465	48.3534	
006.670	52.2919	47.7081	
006.731	51.9313	48.0687	
006.791	52.2198	47.7802	
006.851	52.2577	47.7423	
006.920	52.7544	47.2456	
006.980	53.6506	46.3494	
007.041	54.8611	45.1389	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.041	50.0000	50.0000	
000.057	49.6286	50.3714	
000.106	49.4448	50.5552	
000.180	49.6634	50.3366	
000.241	49.2646	50.7354	
000.303	48.7128	51.2872	
000.367	49.4648	50.5352	
000.430	50.3555	49.6445	
000.491	50.0700	49.9300	
000.552	49.7482	50.2518	
000.608	50.8993	49.1007	
000.679	50.5111	49.4889	
000.739	49.9292	50.0708	
000.803	50.2795	49.7205	
000.869	50.4134	49.5866	
000.931	49.8028	50.1972	
000.991	50.1169	49.8831	
001.051	50.4271	49.5729	
001.115	50.3058	49.6942	
001.179	50.4431	49.5569	
001.239	50.4323	49.5677	
001.303	50.0951	49.9049	
001.368	50.0754	49.9246	
001.431	51.0046	48.9954	
001.492	51.3099	48.6901	
001.552	50.5707	49.4293	
001.615	50.7360	49.2640	
001.679	51.3140	48.6860	
001.739	50.3852	49.6148	
001.804	49.2350	50.7650	
001.867	48.6682	51.3318	
001.930	48.2158	51.7842	
001.991	47.7240	52.2760	
002.051	45.8814	54.1185	
002.116	44.7960	55.2040	
002.180	44.9081	55.0919	
002.233	45.3569	54.6431	
002.301	44.0213	55.9787	
002.365	43.7828	56.2172	
002.432	44.7114	55.2886	
002.485	45.2881	54.7119	
002.549	44.6523	55.3477	
002.614	45.7728	54.2272	
002.678	47.8935	52.1065	
002.737	49.4704	50.5296	
002.802	51.3163	48.6837	
002.868	52.8110	47.1890	
002.932	52.7748	47.2252	
002.991	52.8714	47.1285	
003.045	54.0247	45.9753	
003.116	54.1889	45.8111	
003.180	53.7374	46.2626	
003.238	53.7860	46.2140	
003.302	54.6123	45.3877	
003.365	54.4949	45.5051	
003.419	53.6689	46.3311	
003.491	53.4756	46.5244	
003.551	52.5394	47.4606	
003.616	53.0236	46.9764	
003.679	54.6902	45.3098	
003.739	55.4652	44.5348	
003.803	56.1301	43.8699	
003.867	57.2840	42.7160	
003.931	58.6917	41.3083	
003.991	59.7096	40.2904	
004.038	60.5245	39.4755	
004.115	61.4172	38.5828	
004.180	62.6526	37.3474	
004.240	63.2315	36.7685	
004.303	64.1428	35.8572	
004.367	64.9636	35.0364	
004.430	65.7315	34.2685	
004.490	66.1476	33.8524	
004.551	66.0498	33.9502	
004.614	66.8231	33.1769	
004.679	67.1728	32.8272	
004.740	67.1820	32.8180	
004.798	67.1816	32.8184	
004.869	67.6473	32.3527	
004.933	67.6887	32.3113	
004.978	68.9467	31.0533	
005.053	69.4873	30.5127	
005.116	69.4939	30.5061	
005.178	70.2215	29.7785	
7702	 7702	 7702 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.031	50.0000	50.0000	
000.038	49.3853	50.6147	
000.093	48.9650	51.0350	
000.152	49.5862	50.4138	
000.217	50.5139	49.4861	
000.281	50.8961	49.1039	
000.341	50.7643	49.2357	
000.404	51.2949	48.7051	
000.482	50.9379	49.0621	
000.546	52.2427	47.7573	
000.606	51.8331	48.1669	
000.667	51.8060	48.1940	
000.730	51.3400	48.6600	
000.782	51.9060	48.0940	
000.841	51.9722	48.0278	
000.905	52.2474	47.7526	
000.969	52.2209	47.7791	
001.050	52.8806	47.1194	
001.094	52.6837	47.3163	
001.153	53.5425	46.4575	
001.217	54.3628	45.6372	
001.578	54.6322	45.3678	
001.588	54.0156	45.9844	
001.596	54.6924	45.3076	
001.606	55.1199	44.8801	
001.614	54.4975	45.5025	
001.623	53.3933	46.6067	
001.654	53.5964	46.4036	
001.717	53.5613	46.4387	
001.781	51.8391	48.1609	
001.841	50.7823	49.2177	
001.906	51.3644	48.6356	
001.969	51.3332	48.6668	
002.033	50.7134	49.2866	
002.093	50.9457	49.0543	
002.153	51.8392	48.1608	
002.217	52.8369	47.1631	
002.281	53.2931	46.7069	
002.341	53.7372	46.2628	
002.405	53.5309	46.4691	
002.469	54.3776	45.6224	
002.533	54.4968	45.5032	
002.593	54.2211	45.7789	
002.653	54.4519	45.5481	
002.717	55.2046	44.7954	
002.781	55.3194	44.6806	
002.841	55.4476	44.5524	
002.905	56.0669	43.9331	
002.969	56.3711	43.6290	
003.033	56.0379	43.9621	
003.093	56.2570	43.7430	
003.153	56.7713	43.2287	
003.217	55.7495	44.2505	
003.281	54.2705	45.7295	
003.341	53.7041	46.2959	
003.405	52.1716	47.8284	
003.469	51.6999	48.3001	
003.533	50.1470	49.8530	
003.593	49.8193	50.1807	
003.653	48.4757	51.5243	
003.717	47.2212	52.7788	
003.781	45.7507	54.2493	
003.841	44.5121	55.4879	
003.905	42.9129	57.0871	
003.969	42.3025	57.6975	
004.033	42.2204	57.7796	
004.093	42.6470	57.3530	
004.153	41.8376	58.1624	
004.216	40.7480	59.2520	
004.290	40.5796	59.4204	
004.350	41.1923	58.8077	
004.414	41.1684	58.8316	
004.478	40.4460	59.5540	
004.542	40.2687	59.7313	
004.602	41.2480	58.7520	
004.664	42.3600	57.6400	
004.717	41.2752	58.7248	
004.791	40.8227	59.1773	
004.852	41.3481	58.6519	
004.905	41.7048	58.2952	
004.968	40.6885	59.3115	
005.032	39.7577	60.2423	
7703	 7703	 7703 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.043	50.0000	50.0000	
000.062	48.6973	51.3027	
000.106	48.4532	51.5468	
000.177	47.9883	52.0117	
000.235	46.4431	53.5569	
000.299	44.7304	55.2696	
000.364	44.2198	55.7802	
000.423	43.5609	56.4391	
000.488	42.5465	57.4535	
000.545	41.6947	58.3053	
000.615	42.0381	57.9619	
000.676	42.5493	57.4507	
000.736	42.8150	57.1850	
000.801	42.8255	57.1745	
000.865	43.3502	56.6499	
000.925	44.8985	55.1015	
000.985	45.7646	54.2354	
001.052	45.9393	54.0607	
001.115	47.0358	52.9642	
001.176	48.7264	51.2736	
001.235	48.6801	51.3199	
001.299	48.1431	51.8569	
001.364	47.8636	52.1364	
001.423	48.3886	51.6114	
001.487	48.8845	51.1155	
001.551	48.4632	51.5368	
001.617	48.5963	51.4037	
001.676	48.9048	51.0952	
001.735	47.7033	52.2967	
001.799	46.9625	53.0375	
001.865	47.4885	52.5115	
001.923	48.1086	51.8914	
001.975	47.7584	52.2416	
002.052	46.2198	53.7802	
002.116	46.4263	53.5737	
002.176	47.6753	52.3247	
002.230	46.7484	53.2516	
002.299	44.9812	55.0188	
002.363	44.3982	55.6018	
002.425	45.8925	54.1075	
002.477	47.1142	52.8858	
002.551	46.3957	53.6043	
002.615	45.3333	54.6667	
002.666	46.6335	53.3665	
002.735	47.3883	52.6117	
002.800	46.8753	53.1247	
002.864	46.5663	53.4337	
002.923	47.0324	52.9676	
002.989	46.7621	53.2378	
003.055	46.3757	53.6243	
003.117	46.1033	53.8967	
003.175	45.6262	54.3738	
003.235	44.4601	55.5399	
003.299	43.3875	56.6125	
003.363	44.1461	55.8538	
003.424	43.8673	56.1327	
003.488	43.2439	56.7561	
003.551	42.6349	57.3651	
003.615	43.6518	56.3482	
003.677	43.9893	56.0107	
003.734	43.9228	56.0772	
003.798	43.6955	56.3045	
003.867	44.5499	55.4501	
003.911	45.7512	54.2488	
003.989	46.9714	53.0286	
004.042	47.2600	52.7400	
004.117	48.4617	51.5383	
004.180	49.5311	50.4689	
004.229	50.3460	49.6540	
004.301	50.7487	49.2513	
004.370	51.2951	48.7049	
004.424	52.0374	47.9626	
004.488	52.2739	47.7261	
004.551	52.2570	47.7430	
004.609	53.1380	46.8619	
004.677	51.9214	48.0786	
004.737	50.9326	49.0674	
004.792	50.2317	49.7683	
004.869	50.3832	49.6168	
004.918	48.8550	51.1450	
004.988	48.8676	51.1324	
005.039	49.6020	50.3980	
005.118	48.7340	51.2660	
005.162	47.0107	52.9893	
005.238	46.6366	53.3634	
005.301	46.8494	53.1506	
005.369	45.2420	54.7580	
005.426	43.6094	56.3906	
005.482	42.9985	57.0015	
005.553	43.0034	56.9966	
005.603	41.6645	58.3355	
005.662	40.2044	59.7956	
005.737	38.7407	61.2593	
7692	 7692	 7692 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.019	50.0000	50.0000	
000.027	49.2414	50.7586	
000.098	49.3544	50.6456	
000.158	50.2093	49.7907	
000.220	50.3804	49.6196	
000.283	50.0806	49.9194	
000.350	50.6981	49.3019	
000.408	50.7796	49.2204	
000.471	49.7402	50.2598	
000.535	48.8088	51.1912	
000.599	49.2347	50.7653	
000.658	49.4819	50.5181	
000.718	48.5663	51.4337	
000.782	48.7384	51.2616	
000.851	49.2203	50.7797	
000.906	49.1445	50.8555	
000.971	48.3558	51.6442	
001.034	48.3809	51.6191	
001.099	49.4430	50.5570	
001.158	50.1438	49.8562	
001.218	49.0727	50.9273	
001.282	48.7452	51.2548	
001.350	49.3312	50.6688	
001.406	49.5072	50.4928	
001.470	49.7738	50.2262	
001.534	49.2046	50.7954	
001.599	48.0411	51.9589	
001.652	48.4658	51.5342	
001.712	48.8684	51.1316	
001.781	47.8081	52.1919	
001.843	46.6943	53.3057	
001.899	47.0077	52.9923	
001.971	47.2570	52.7430	
002.035	45.7474	54.2526	
002.099	44.7670	55.2330	
002.152	45.8601	54.1399	
002.219	45.6909	54.3091	
002.283	44.1491	55.8509	
002.352	43.5200	56.4800	
002.408	44.4023	55.5977	
002.463	44.4556	55.5444	
002.536	43.1119	56.8881	
002.600	42.9137	57.0863	
002.659	44.4214	55.5786	
002.712	44.3540	55.6460	
002.783	43.4742	56.5258	
002.852	43.8352	56.1648	
002.906	44.8370	55.1630	
002.967	44.6034	55.3966	
003.034	43.9690	56.0310	
003.100	44.4485	55.5515	
003.149	44.5501	55.4499	
003.218	44.1472	55.8528	
003.282	44.3706	55.6294	
003.351	44.9186	55.0814	
003.407	44.4269	55.5731	
003.464	44.1213	55.8787	
003.535	45.4621	54.5379	
003.594	45.7674	54.2326	
003.658	45.3459	54.6541	
003.716	45.4862	54.5138	
003.777	46.2073	53.7927	
003.853	46.5836	53.4164	
003.906	45.8877	54.1123	
003.971	45.1184	54.8816	
004.036	44.7757	55.2243	
004.099	44.9892	55.0108	
004.157	44.4618	55.5382	
004.219	43.7773	56.2227	
004.282	42.3521	57.6479	
004.351	42.8677	57.1323	
004.407	42.7025	57.2975	
004.471	41.7401	58.2599	
004.525	40.6484	59.3516	
004.599	41.3155	58.6845	
004.647	42.2229	57.7771	
004.719	42.5346	57.4654	
004.783	42.1076	57.8924	
004.850	42.5600	57.4400	
004.906	43.9448	56.0552	
004.970	44.1136	55.8864	
005.034	43.4842	56.5158	
005.099	43.9005	56.0995	
005.157	44.6443	55.3557	
005.220	44.9628	55.0372	
005.282	44.0322	55.9678	
005.337	44.7395	55.2605	
005.407	45.5844	54.4156	
005.472	46.5524	53.4476	
005.534	46.8444	53.1556	
005.598	47.8052	52.1948	
005.658	47.9032	52.0968	
005.717	49.6527	50.3473	
005.782	50.2334	49.7666	
005.850	50.0637	49.9363	
005.906	50.1295	49.8705	
005.971	51.3155	48.6845	
006.021	51.3266	48.6734	
006.084	50.7016	49.2984	
006.144	49.9685	50.0315	
006.204	49.2867	50.7133	
006.268	48.2306	51.7694	
006.336	47.7788	52.2212	
006.392	46.7051	53.2949	
006.456	45.2953	54.7047	
006.520	44.8241	55.1759	
006.585	45.4819	54.5181	
006.645	44.0352	55.9648	
006.705	42.6838	57.3162	
006.768	43.0592	56.9408	
006.932	43.5874	56.4126	
006.938	42.1948	57.8052	
006.958	41.7957	58.2043	
007.020	43.3975	56.6025	
7692	 7692	 7692 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.014	50.0000	50.0000	
000.023	49.8298	50.1702	
000.077	49.0656	50.9344	
000.156	48.2953	51.7047	
000.223	47.4539	52.5461	
000.280	46.4281	53.5719	
000.342	47.1842	52.8158	
000.407	47.2806	52.7194	
000.471	46.8562	53.1438	
000.530	46.7151	53.2849	
000.590	46.9319	53.0681	
000.654	46.3363	53.6637	
000.724	45.9128	54.0872	
000.779	45.1970	54.8030	
000.842	44.7672	55.2328	
000.908	44.2634	55.7366	
000.972	43.4260	56.5740	
001.029	42.8712	57.1288	
001.092	42.4665	57.5335	
001.154	41.4392	58.5608	
001.223	41.5073	58.4927	
001.281	41.6755	58.3245	
001.329	42.0224	57.9776	
001.409	42.0692	57.9308	
001.473	41.3978	58.6022	
001.525	41.8868	58.1132	
001.589	43.7372	56.2628	
001.654	43.9141	56.0859	
001.722	43.7543	56.2457	
001.779	43.5940	56.4060	
001.844	44.9697	55.0303	
001.906	46.4105	53.5895	
001.970	46.7559	53.2441	
002.031	47.2038	52.7962	
002.089	46.8717	53.1283	
002.156	46.1888	53.8112	
002.222	47.8533	52.1467	
002.277	47.6878	52.3122	
002.342	46.6943	53.3057	
002.408	45.7784	54.2216	
002.470	45.4840	54.5160	
002.530	45.6095	54.3905	
002.589	44.1489	55.8511	
002.654	42.6381	57.3619	
002.722	41.4537	58.5463	
002.777	41.2519	58.7481	
002.840	41.0461	58.9539	
002.906	40.1949	59.8051	
002.970	39.4743	60.5257	
7703	 7703	 7703 
7701	 7701	 7701 
