time 	 LH 	 RH
7701	 7701	 7701 
000.056	50.0000	50.0000	
000.074	49.1215	50.8785	
000.097	48.0433	51.9567	
000.164	47.3294	52.6706	
000.243	48.8833	51.1167	
000.278	48.9841	51.0159	
000.341	47.9522	52.0478	
000.418	48.5646	51.4354	
000.465	49.6599	50.3401	
000.543	49.7756	50.2244	
000.606	49.2027	50.7973	
000.663	49.4884	50.5116	
000.727	50.0786	49.9214	
000.792	49.2950	50.7050	
000.855	48.8515	51.1485	
000.914	50.3147	49.6853	
000.978	49.1496	50.8504	
001.042	48.1142	51.8858	
001.106	47.5561	52.4439	
001.162	47.0201	52.9799	
001.223	45.9901	54.0099	
001.290	45.6371	54.3629	
001.354	44.9914	55.0086	
001.420	45.4847	54.5153	
001.465	45.4978	54.5022	
001.528	46.7887	53.2113	
001.606	47.0807	52.9193	
001.664	47.3547	52.6453	
001.727	48.4608	51.5392	
001.788	49.7677	50.2323	
001.854	49.6765	50.3235	
001.915	50.2567	49.7433	
001.979	51.5198	48.4802	
002.043	52.1418	47.8582	
002.100	52.3331	47.6669	
002.161	52.4889	47.5111	
002.225	52.9878	47.0122	
002.290	53.5065	46.4935	
002.356	52.0572	47.9428	
002.414	51.3532	48.6468	
002.468	50.7120	49.2880	
002.545	50.2023	49.7977	
002.593	48.4287	51.5713	
002.648	46.8501	53.1499	
002.717	46.1789	53.8211	
002.792	46.1426	53.8574	
002.855	44.7169	55.2831	
002.914	43.6301	56.3699	
002.979	45.0235	54.9765	
003.044	46.5036	53.4964	
003.106	47.9839	52.0161	
003.163	48.7525	51.2475	
003.228	50.2941	49.7059	
003.290	52.0256	47.9744	
003.354	52.8137	47.1863	
003.415	53.7503	46.2497	
003.478	54.6623	45.3377	
003.567	55.8973	44.1027	
003.599	56.8613	43.1387	
003.664	57.7318	42.2682	
003.726	58.1887	41.8113	
003.790	58.9925	41.0075	
003.844	59.4056	40.5944	
003.914	60.1595	39.8405	
003.966	60.7049	39.2951	
004.043	60.8056	39.1944	
004.107	61.6605	38.3395	
004.149	62.7229	37.2771	
004.226	63.8842	36.1158	
004.291	63.7317	36.2684	
004.354	63.1392	36.8608	
004.414	63.7509	36.2491	
004.478	64.2787	35.7213	
004.542	62.7273	37.2727	
004.606	61.5896	38.4104	
004.662	62.7879	37.2121	
004.726	63.2026	36.7974	
004.789	62.2830	37.7170	
004.854	62.3333	37.6667	
004.914	63.3557	36.6443	
004.968	63.7539	36.2461	
005.028	64.0441	35.9560	
005.092	64.9542	35.0458	
005.148	65.9990	34.0010	
005.212	66.3519	33.6481	
005.276	67.3336	32.6664	
005.340	68.0639	31.9361	
005.400	68.0980	31.9020	
005.464	67.3720	32.6280	
005.528	67.8055	32.1945	
005.593	67.5338	32.4662	
005.648	67.2687	32.7313	
005.712	66.0727	33.9273	
005.790	66.9160	33.0840	
005.854	66.6404	33.3596	
005.914	65.7295	34.2705	
005.978	65.6906	34.3094	
006.041	65.8359	34.1641	
006.107	66.1483	33.8517	
006.161	65.8377	34.1623	
006.228	65.5418	34.4582	
006.290	65.3620	34.6380	
006.354	65.7590	34.2410	
006.414	65.3325	34.6675	
006.478	65.3463	34.6537	
006.542	65.1037	34.8963	
006.607	65.5612	34.4388	
006.655	65.5874	34.4126	
006.726	64.4912	35.5088	
006.791	64.4640	35.5360	
006.854	64.9530	35.0470	
006.908	64.5387	35.4613	
006.977	64.2902	35.7098	
007.042	64.3451	35.6549	
7702	 7702	 7702 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.062	50.0000	50.0000	
000.082	49.0174	50.9826	
000.119	48.4527	51.5473	
000.182	49.2647	50.7353	
000.246	49.0689	50.9311	
000.310	47.2265	52.7735	
000.366	47.0506	52.9494	
000.430	48.3794	51.6206	
000.507	48.1218	51.8782	
000.571	46.8402	53.1598	
000.631	47.6537	52.3463	
000.697	49.2592	50.7408	
000.761	49.7604	50.2396	
000.825	50.5012	49.4988	
000.874	51.8077	48.1923	
000.943	53.2250	46.7750	
001.006	54.8027	45.1973	
001.070	55.5787	44.4213	
001.131	56.2306	43.7694	
001.195	56.7539	43.2461	
001.246	56.7538	43.2462	
001.310	57.0422	42.9578	
001.366	57.8377	42.1623	
001.430	58.1246	41.8754	
001.494	57.5701	42.4299	
001.558	57.0466	42.9534	
001.618	57.0831	42.9169	
001.682	56.8037	43.1963	
001.746	55.0601	44.9399	
001.810	54.8167	45.1833	
001.866	55.9683	44.0317	
001.930	56.7320	43.2680	
001.994	56.9822	43.0178	
002.058	57.6268	42.3732	
002.118	58.5177	41.4823	
002.197	59.2711	40.7289	
002.261	60.4581	39.5419	
002.324	61.5822	38.4178	
002.380	62.1436	37.8564	
002.444	62.6421	37.3579	
002.508	63.8967	36.1033	
002.572	64.9506	35.0494	
002.632	65.3547	34.6453	
002.696	64.9727	35.0273	
002.759	65.4526	34.5474	
002.824	66.2791	33.7209	
002.880	66.2159	33.7841	
002.944	66.3315	33.6685	
003.008	66.2445	33.7555	
003.072	66.2738	33.7262	
003.133	67.3732	32.6268	
003.183	68.3260	31.6740	
003.246	67.7429	32.2571	
003.310	67.6252	32.3748	
003.366	68.0451	31.9549	
003.430	69.4369	30.5631	
003.493	69.6186	30.3814	
003.558	69.0636	30.9364	
003.618	69.7633	30.2367	
003.682	70.9084	29.0916	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.034	50.0000	50.0000	
000.050	49.9463	50.0537	
000.099	51.0348	48.9652	
000.169	51.6035	48.3965	
000.233	50.6783	49.3217	
000.297	50.4418	49.5582	
000.362	50.9915	49.0085	
000.416	51.1760	48.8240	
000.481	51.6074	48.3926	
000.543	52.6032	47.3968	
000.608	53.8903	46.1097	
000.668	55.3990	44.6010	
000.733	57.3238	42.6762	
000.795	58.9401	41.0599	
000.860	59.9647	40.0353	
000.915	60.7356	39.2644	
000.980	61.3793	38.6207	
001.044	60.8657	39.1343	
001.108	61.4187	38.5813	
001.168	62.0836	37.9164	
001.232	62.1316	37.8684	
001.296	62.2764	37.7236	
001.360	62.7753	37.2247	
001.416	63.6124	36.3876	
001.480	63.6919	36.3081	
001.543	63.4807	36.5193	
001.608	63.7250	36.2750	
001.668	64.6580	35.3420	
001.732	64.7244	35.2756	
001.796	64.9754	35.0246	
001.860	65.1533	34.8467	
001.916	65.8028	34.1972	
001.980	65.3804	34.6196	
002.044	65.4507	34.5493	
002.108	66.0848	33.9152	
002.168	66.8737	33.1263	
002.231	66.3090	33.6910	
002.296	65.7327	34.2673	
002.347	66.3877	33.6123	
002.402	66.6682	33.3318	
002.466	65.1936	34.8064	
002.530	63.4839	36.5161	
002.594	64.5702	35.4298	
002.654	65.2562	34.7438	
002.718	64.1323	35.8677	
002.782	63.1333	36.8667	
002.846	63.7782	36.2218	
002.902	64.5230	35.4770	
002.979	64.0046	35.9954	
003.043	64.8257	35.1743	
003.107	65.9423	34.0577	
003.167	66.8244	33.1756	
003.233	67.2653	32.7347	
003.297	67.6383	32.3617	
003.360	67.4007	32.5993	
003.415	67.8686	32.1314	
003.479	68.5583	31.4417	
003.545	67.9421	32.0579	
003.609	66.3535	33.6465	
003.669	65.4459	34.5541	
003.731	66.5385	33.4615	
003.796	64.7304	35.2696	
003.859	62.0568	37.9432	
003.915	61.4678	38.5322	
003.979	62.2350	37.7650	
004.045	61.4135	38.5865	
004.109	60.9729	39.0271	
004.168	61.2313	38.7687	
004.232	62.3334	37.6666	
004.296	62.5801	37.4199	
004.359	63.5205	36.4795	
004.415	64.1046	35.8954	
004.479	63.6365	36.3635	
004.537	63.1698	36.8302	
004.608	64.4178	35.5822	
004.668	64.7675	35.2325	
004.732	63.4533	36.5467	
004.795	63.1007	36.8993	
004.860	63.6396	36.3604	
004.915	63.8109	36.1891	
004.979	61.6056	38.3944	
005.043	61.2607	38.7393	
005.107	61.9282	38.0718	
005.167	62.3397	37.6603	
005.231	61.2682	38.7318	
005.297	61.2250	38.7750	
005.360	60.8231	39.1769	
005.416	61.2244	38.7756	
005.480	61.5420	38.4580	
005.530	61.0867	38.9133	
005.594	60.6929	39.3071	
005.655	61.2616	38.7384	
005.718	61.3894	38.6106	
005.782	61.0738	38.9262	
005.846	60.5457	39.4543	
005.902	60.3738	39.6262	
005.979	60.1572	39.8428	
006.045	59.9597	40.0403	
006.108	58.3576	41.6424	
006.167	57.2919	42.7081	
006.231	56.7901	43.2099	
006.295	56.6684	43.3316	
006.360	54.8429	45.1571	
006.415	53.5875	46.4125	
006.479	54.1691	45.8309	
006.543	54.0922	45.9078	
006.607	53.7552	46.2448	
006.668	54.3897	45.6103	
006.732	54.6741	45.3259	
006.796	54.6211	45.3789	
006.861	55.2760	44.7239	
006.905	55.9909	44.0091	
006.981	55.6202	44.3798	
007.045	55.2502	44.7498	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.048	50.0000	50.0000	
000.065	49.9954	50.0046	
000.112	49.3563	50.6437	
000.186	49.0545	50.9455	
000.242	49.6205	50.3795	
000.306	49.9777	50.0223	
000.371	49.3571	50.6429	
000.435	48.6153	51.3847	
000.496	49.1687	50.8313	
000.553	49.2510	50.7490	
000.624	49.6672	50.3328	
000.687	50.7632	49.2368	
000.729	51.8955	48.1045	
000.807	52.0813	47.9187	
000.872	52.0343	47.9657	
000.935	53.1793	46.8207	
000.995	53.1241	46.8759	
001.060	53.3856	46.6144	
001.113	54.6954	45.3046	
001.187	55.0153	44.9847	
001.236	54.9537	45.0463	
001.299	55.6976	44.3024	
001.371	55.9286	44.0714	
001.425	55.0355	44.9645	
001.494	54.4807	45.5193	
001.561	54.8161	45.1839	
001.623	55.3513	44.6487	
001.684	54.2725	45.7275	
001.740	54.9035	45.0965	
001.797	54.6421	45.3579	
001.870	53.2903	46.7097	
001.935	52.9696	47.0304	
001.988	53.4241	46.5759	
002.057	52.5424	47.4576	
002.122	52.3350	47.6650	
002.186	52.3818	47.6182	
002.244	53.3256	46.6744	
002.308	53.2972	46.7028	
002.371	52.1237	47.8763	
002.435	51.7938	48.2062	
002.492	51.8758	48.1242	
002.547	52.4541	47.5459	
002.623	51.5463	48.4537	
002.686	50.3037	49.6963	
002.742	50.5043	49.4957	
002.806	50.0688	49.9312	
002.870	48.9470	51.0530	
002.934	48.3967	51.6033	
002.994	48.3840	51.6160	
003.058	47.9438	52.0562	
003.123	48.2151	51.7849	
003.186	48.7919	51.2081	
003.242	48.4670	51.5330	
003.306	47.2735	52.7265	
003.370	48.4667	51.5333	
003.434	48.3450	51.6550	
003.494	47.7431	52.2569	
003.558	47.5446	52.4554	
003.622	48.6874	51.3126	
003.686	48.4520	51.5480	
003.742	47.9958	52.0042	
003.807	48.7873	51.2127	
003.871	50.2650	49.7350	
003.934	49.8479	50.1521	
003.981	49.4137	50.5863	
004.044	50.6127	49.3873	
004.108	52.2118	47.7882	
004.172	53.3583	46.6417	
004.228	52.9532	47.0468	
004.306	53.8846	46.1154	
004.372	55.0887	44.9113	
004.434	55.3629	44.6371	
004.494	54.1911	45.8089	
004.559	52.9752	47.0248	
004.622	53.6020	46.3980	
004.686	54.1876	45.8124	
004.742	53.5542	46.4458	
004.806	53.8922	46.1078	
004.870	54.7498	45.2502	
004.934	54.8935	45.1065	
004.994	54.3785	45.6215	
005.060	53.6753	46.3247	
005.123	53.2576	46.7424	
005.187	53.4244	46.5756	
005.243	53.9324	46.0676	
005.307	53.5772	46.4228	
005.371	53.0976	46.9024	
005.428	53.1768	46.8232	
005.495	54.2921	45.7079	
005.560	53.0881	46.9119	
005.623	52.3149	47.6851	
005.673	52.6357	47.3643	
005.729	51.8539	48.1461	
005.808	50.7053	49.2947	
005.871	50.3881	49.6119	
005.936	50.1036	49.8964	
005.988	48.9488	51.0512	
006.058	47.8103	52.1897	
006.123	47.3454	52.6546	
006.188	46.4642	53.5358	
006.243	45.0269	54.9731	
006.300	44.5064	55.4936	
006.371	44.0133	55.9867	
006.436	43.2738	56.7262	
006.495	43.9111	56.0889	
006.559	44.0103	55.9897	
006.623	44.4464	55.5536	
006.685	45.3885	54.6115	
006.741	46.4404	53.5596	
006.805	47.2437	52.7563	
006.871	47.5734	52.4266	
006.937	48.5657	51.4343	
006.988	50.3016	49.6984	
007.059	51.1194	48.8806	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.065	50.0000	50.0000	
000.077	51.7969	48.2031	
000.133	52.3768	47.6232	
000.196	52.7629	47.2371	
000.256	53.9773	46.0227	
000.320	55.1445	44.8555	
000.384	55.4603	44.5397	
000.447	55.8458	44.1542	
000.502	56.2064	43.7936	
000.567	57.1497	42.8503	
000.631	57.6589	42.3411	
000.695	57.6844	42.3156	
000.755	57.7985	42.2015	
000.819	57.4910	42.5090	
000.883	57.8207	42.1793	
000.947	58.5937	41.4063	
001.003	58.1814	41.8186	
001.067	58.1642	41.8358	
001.131	58.8780	41.1220	
001.194	59.7574	40.2426	
001.255	60.1280	39.8720	
001.319	59.7967	40.2033	
001.382	59.9920	40.0080	
001.446	61.0799	38.9201	
001.503	61.2434	38.7566	
001.567	61.5733	38.4267	
001.631	60.7830	39.2170	
001.694	59.9787	40.0213	
001.754	60.9249	39.0751	
001.818	61.6584	38.3416	
001.883	60.0123	39.9877	
001.947	59.1913	40.8087	
002.003	59.0872	40.9128	
002.067	59.5934	40.4066	
002.131	59.5150	40.4850	
002.195	59.3577	40.6423	
002.255	59.8821	40.1179	
002.319	59.5492	40.4508	
002.382	58.8990	41.1010	
002.446	59.5374	40.4626	
002.502	59.3675	40.6325	
002.566	58.2576	41.7424	
002.630	58.7503	41.2497	
002.694	59.0449	40.9551	
002.754	59.0900	40.9100	
002.818	58.2995	41.7005	
002.882	57.4624	42.5376	
002.946	57.2701	42.7299	
003.006	57.3854	42.6146	
003.066	57.5543	42.4457	
003.130	57.8968	42.1032	
003.194	57.8946	42.1053	
003.254	58.8805	41.1195	
003.318	59.6388	40.3612	
003.382	58.7679	41.2321	
003.446	58.7032	41.2968	
003.506	60.3126	39.6874	
003.577	61.2916	38.7084	
003.641	61.2049	38.7951	
003.694	60.6291	39.3709	
003.765	61.4524	38.5476	
003.829	61.8284	38.1716	
003.894	61.1261	38.8739	
003.957	60.5506	39.4494	
004.017	60.7937	39.2063	
004.078	60.9523	39.0477	
004.142	60.5798	39.4202	
004.206	58.7786	41.2214	
004.265	56.4691	43.5309	
004.330	56.5985	43.4015	
004.395	56.0054	43.9946	
004.731	54.3099	45.6901	
004.749	52.5756	47.4244	
004.760	52.6591	47.3409	
004.768	51.8487	48.1513	
004.777	50.4097	49.5903	
004.785	49.5471	50.4529	
004.820	49.2747	50.7253	
004.896	48.8657	51.1343	
004.960	48.4283	51.5717	
005.019	49.0807	50.9193	
005.081	48.5481	51.4518	
005.146	47.7136	52.2864	
005.208	48.3588	51.6412	
005.269	49.4228	50.5772	
005.325	49.2157	50.7843	
005.395	50.0256	49.9744	
005.460	51.6006	48.3994	
005.521	52.2122	47.7878	
005.580	51.9311	48.0689	
005.643	52.8448	47.1552	
005.707	54.1534	45.8466	
005.770	53.7432	46.2568	
005.833	53.0752	46.9248	
005.888	53.3376	46.6624	
005.959	53.3422	46.6578	
006.007	54.0309	45.9691	
006.081	53.0472	46.9528	
006.145	51.7115	48.2885	
006.210	50.7969	49.2031	
006.269	50.0865	49.9136	
006.331	48.6894	51.3106	
006.397	47.4119	52.5881	
006.462	46.6622	53.3378	
006.507	46.5322	53.4678	
006.566	45.4134	54.5866	
006.645	44.3442	55.6558	
006.709	43.8144	56.1856	
006.755	43.3942	56.6058	
006.833	43.5441	56.4559	
006.897	44.0768	55.9232	
006.959	44.3464	55.6536	
007.007	44.9911	55.0089	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
