time 	 LH 	 RH
7691	 7691	 7691 
000.063	50.0000	50.0000	
000.077	50.8618	49.1381	
000.103	51.1087	48.8913	
000.176	51.1423	48.8577	
000.251	51.5016	48.4984	
000.288	52.2621	47.7379	
000.361	52.9581	47.0419	
000.420	53.6494	46.3506	
000.485	54.4997	45.5003	
000.539	55.4517	44.5483	
000.613	56.7094	43.2906	
000.674	57.8918	42.1082	
000.725	59.0158	40.9842	
000.796	60.2258	39.7742	
000.863	61.3220	38.6780	
000.921	62.3963	37.6037	
000.984	63.6435	36.3565	
001.048	64.6450	35.3550	
001.113	65.3727	34.6273	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.040	50.0000	50.0000	
000.044	50.6783	49.3217	
000.106	51.2021	48.7979	
000.174	51.5548	48.4452	
000.243	51.7036	48.2964	
000.302	52.0806	47.9194	
000.366	52.5544	47.4456	
000.427	52.9851	47.0149	
000.489	53.5490	46.4510	
000.554	54.1785	45.8215	
000.619	55.3750	44.6250	
000.678	56.7870	43.2130	
000.742	57.2458	42.7542	
000.801	57.5447	42.4553	
000.866	58.4591	41.5409	
000.925	59.6803	40.3197	
000.991	60.9147	39.0853	
001.043	61.9662	38.0338	
001.106	62.7328	37.2672	
001.166	63.2978	36.7022	
001.230	63.9082	36.0918	
001.290	64.6872	35.3128	
001.354	65.4423	34.5577	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.062	50.0000	50.0000	
000.065	50.7839	49.2161	
000.127	51.5010	48.4990	
000.192	51.3067	48.6933	
000.256	51.1064	48.8936	
000.316	50.7768	49.2232	
000.380	50.4551	49.5449	
000.440	49.9540	50.0460	
000.504	49.3362	50.6638	
000.564	49.0534	50.9466	
000.628	48.8277	51.1723	
000.692	48.6886	51.3114	
000.756	48.1842	51.8158	
000.816	48.2253	51.7747	
000.880	47.6371	52.3629	
000.940	47.9175	52.0825	
001.004	47.6748	52.3252	
001.064	48.1266	51.8734	
001.128	48.1453	51.8547	
001.192	49.6615	50.3385	
001.256	50.4413	49.5587	
001.316	50.9962	49.0038	
001.380	51.0489	48.9511	
001.440	52.1957	47.8043	
001.504	52.6828	47.3172	
001.564	52.2573	47.7427	
001.628	52.4620	47.5380	
001.692	53.3723	46.6277	
001.756	53.6471	46.3529	
001.816	53.3445	46.6555	
001.880	53.8724	46.1277	
001.940	54.5931	45.4069	
002.008	54.6500	45.3500	
002.064	54.0208	45.9792	
002.140	54.5064	45.4936	
002.204	55.3284	44.6716	
002.268	54.9122	45.0878	
002.328	54.1405	45.8595	
002.393	53.7769	46.2231	
002.453	53.1841	46.8159	
002.521	52.0050	47.9950	
002.577	51.0000	49.0000	
002.640	50.4646	49.5354	
002.704	50.1957	49.8043	
002.768	49.7924	50.2076	
002.829	49.1065	50.8935	
002.880	48.5431	51.4569	
002.942	48.7001	51.2999	
003.020	48.9765	51.0235	
003.076	49.2216	50.7784	
003.132	49.8086	50.1914	
003.206	51.1817	48.8183	
003.270	53.0600	46.9400	
003.328	54.6462	45.3538	
003.390	55.8611	44.1389	
003.451	56.9448	43.0552	
003.519	58.4507	41.5493	
003.575	60.0202	39.9798	
003.640	61.2069	38.7931	
003.703	62.3947	37.6053	
003.769	63.7778	36.2222	
003.829	65.3831	34.6169	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.034	50.0000	50.0000	
000.039	51.6765	48.3235	
000.111	53.2866	46.7134	
000.175	54.3617	45.6383	
000.235	54.5577	45.4423	
000.300	55.1395	44.8605	
000.359	56.3638	43.6362	
000.427	57.9896	42.0104	
000.483	59.3062	40.6938	
000.547	60.4041	39.5959	
000.611	61.2668	38.7332	
000.674	62.4244	37.5756	
000.736	63.3537	36.6463	
000.798	64.0983	35.9017	
000.860	64.3756	35.6244	
000.927	65.1247	34.8753	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.048	50.0000	50.0000	
000.052	51.9135	48.0865	
000.113	53.3103	46.6897	
000.177	54.9277	45.0723	
000.237	56.3733	43.6267	
000.301	56.8571	43.1429	
000.365	57.6284	42.3716	
000.429	58.6778	41.3222	
000.485	59.6073	40.3927	
000.549	58.8333	41.1667	
000.613	59.0376	40.9624	
000.682	59.5017	40.4983	
000.747	59.7035	40.2965	
000.811	59.1416	40.8584	
000.876	59.5019	40.4981	
000.929	59.7141	40.2859	
000.985	59.6968	40.3032	
001.049	59.0501	40.9499	
001.113	58.1872	41.8128	
001.177	57.0671	42.9329	
001.237	56.7108	43.2892	
001.301	56.3442	43.6558	
001.365	55.9019	44.0981	
001.429	54.8405	45.1595	
001.485	54.7642	45.2358	
001.549	54.4442	45.5558	
001.613	55.1137	44.8863	
001.677	54.3537	45.6463	
001.737	54.6207	45.3793	
001.801	54.3702	45.6298	
001.865	55.0800	44.9200	
001.929	54.4571	45.5429	
001.985	53.9439	46.0561	
002.049	54.0041	45.9959	
002.113	54.7266	45.2734	
002.177	54.7043	45.2957	
002.237	55.0542	44.9458	
002.301	55.6189	44.3811	
002.365	56.5743	43.4257	
002.429	57.3551	42.6449	
002.485	58.4457	41.5543	
002.549	59.4670	40.5330	
002.613	60.2108	39.7892	
002.677	61.1360	38.8640	
002.737	62.0442	37.9558	
002.801	62.8369	37.1631	
002.865	63.0316	36.9684	
002.929	63.1278	36.8722	
002.985	63.1852	36.8148	
003.049	63.6608	36.3392	
003.113	63.5713	36.4287	
003.177	63.6916	36.3084	
003.237	63.7504	36.2496	
003.301	63.9863	36.0137	
003.365	64.4521	35.5479	
003.429	64.6956	35.3044	
003.485	64.7082	35.2918	
003.549	64.6407	35.3593	
003.613	64.5977	35.4023	
003.677	64.2177	35.7823	
003.737	63.5307	36.4693	
003.801	63.1090	36.8910	
003.865	62.9962	37.0038	
003.929	62.4597	37.5403	
003.985	61.4706	38.5294	
004.049	61.1745	38.8255	
004.113	61.2664	38.7336	
004.177	61.1989	38.8011	
004.237	61.0052	38.9948	
004.312	60.6698	39.3302	
004.376	61.4874	38.5126	
004.440	62.2423	37.7577	
004.497	62.5915	37.4085	
004.560	63.0743	36.9257	
004.625	63.9667	36.0333	
004.684	65.0613	34.9387	
7693	 7693	 7693 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.019	50.0000	50.0000	
000.022	51.9918	48.0082	
000.083	53.5954	46.4046	
000.147	54.0664	45.9336	
000.211	54.9880	45.0120	
000.271	56.3940	43.6060	
000.335	57.6593	42.3407	
000.399	57.6674	42.3326	
000.463	57.8516	42.1484	
000.519	59.0781	40.9219	
000.583	60.2676	39.7324	
000.647	60.5838	39.4163	
000.711	59.8184	40.1816	
000.771	59.1268	40.8731	
000.835	58.7637	41.2363	
000.899	58.2778	41.7222	
000.975	57.6692	42.3308	
001.030	57.5314	42.4686	
001.094	57.6041	42.3959	
001.158	57.5671	42.4329	
001.222	57.3353	42.6647	
001.282	57.2417	42.7583	
001.347	57.2885	42.7115	
001.412	57.1031	42.8969	
001.476	57.3888	42.6112	
001.531	58.1535	41.8465	
001.596	59.2736	40.7264	
001.660	59.5650	40.4350	
001.724	60.1204	39.8796	
001.783	60.5489	39.4511	
001.848	61.0487	38.9513	
001.912	61.1465	38.8535	
001.976	61.4938	38.5062	
002.032	61.7005	38.2995	
002.095	61.7242	38.2758	
002.150	61.0608	38.9392	
002.223	60.8941	39.1059	
002.283	60.7161	39.2840	
002.347	60.1455	39.8545	
002.411	59.7369	40.2631	
002.475	59.6250	40.3751	
002.532	59.8294	40.1706	
002.596	59.8484	40.1516	
002.660	59.5755	40.4245	
002.723	58.7002	41.2998	
002.784	57.7835	42.2165	
002.837	57.5790	42.4210	
002.899	58.1099	41.8901	
002.963	58.4417	41.5584	
003.020	58.6449	41.3551	
003.083	59.1369	40.8631	
003.147	59.9489	40.0511	
003.217	60.6492	39.3508	
003.286	61.2888	38.7112	
003.347	61.8326	38.1674	
003.411	62.5455	37.4545	
003.473	63.5627	36.4373	
003.530	64.6122	35.3878	
003.594	65.3429	34.6571	
7702	 7702	 7702 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.031	50.0000	50.0000	
000.035	51.7424	48.2576	
000.097	53.6923	46.3077	
000.161	55.3926	44.6074	
000.217	56.5005	43.4995	
000.285	57.3899	42.6101	
000.345	58.6458	41.3542	
000.409	59.6550	40.3450	
000.469	60.7400	39.2600	
000.533	61.2021	38.7979	
000.597	61.8003	38.1997	
000.661	61.9173	38.0827	
000.717	62.6734	37.3266	
000.785	63.1557	36.8443	
000.845	63.5510	36.4490	
000.913	63.5716	36.4284	
000.981	63.6875	36.3125	
001.044	63.3209	36.6791	
001.109	63.1807	36.8193	
001.173	62.7491	37.2509	
001.229	62.9582	37.0418	
001.297	63.4762	36.5238	
001.356	63.3026	36.6974	
001.420	62.2025	37.7975	
001.481	61.3704	38.6296	
001.544	60.9433	39.0567	
001.608	60.9616	39.0384	
001.672	60.3299	39.6701	
001.728	60.0290	39.9710	
001.797	60.0503	39.9497	
001.856	59.9748	40.0252	
001.920	59.4820	40.5180	
001.980	59.4175	40.5825	
002.044	59.3940	40.6060	
002.110	59.9580	40.0420	
002.172	60.5667	39.4333	
002.229	60.7274	39.2726	
002.296	61.0691	38.9309	
002.346	61.4346	38.5654	
002.409	61.8744	38.1256	
002.469	62.2461	37.7539	
002.533	62.7203	37.2797	
002.597	63.3921	36.6079	
002.661	63.9698	36.0302	
002.717	64.1048	35.8952	
002.785	64.2272	35.7728	
002.855	63.9907	36.0093	
002.922	63.3482	36.6518	
002.981	62.7993	37.2007	
003.046	62.5674	37.4326	
003.109	62.3765	37.6235	
003.174	61.5305	38.4695	
003.218	60.2628	39.7372	
003.298	59.7800	40.2200	
003.358	59.5794	40.4206	
003.421	58.9071	41.0929	
003.470	58.1730	41.8270	
003.546	58.1236	41.8764	
003.609	58.0752	41.9248	
003.673	57.4757	42.5243	
003.718	56.6792	43.3208	
003.797	56.6485	43.3515	
003.858	56.5944	43.4056	
003.910	56.3674	43.6326	
003.981	56.4072	43.5928	
004.044	56.4655	43.5345	
004.109	56.8346	43.1654	
004.172	56.8221	43.1779	
004.229	57.0364	42.9636	
004.296	57.2108	42.7892	
004.359	57.6532	42.3468	
004.421	57.9889	42.0111	
004.480	58.7121	41.2879	
004.544	59.1659	40.8341	
004.608	59.3164	40.6836	
004.672	58.7426	41.2574	
004.728	57.7391	42.2609	
004.797	56.7906	43.2094	
004.856	55.6882	44.3118	
004.920	54.9015	45.0985	
004.980	54.1377	45.8623	
005.045	53.5036	46.4964	
005.108	53.0339	46.9661	
005.172	53.0228	46.9772	
005.228	52.9808	47.0192	
005.296	52.6432	47.3568	
005.358	52.4215	47.5785	
005.421	53.2894	46.7106	
005.480	54.5440	45.4560	
005.545	54.6713	45.3287	
005.609	54.8301	45.1699	
005.673	54.9645	45.0355	
005.729	55.7642	44.2358	
005.797	56.0295	43.9705	
005.857	56.0271	43.9729	
005.920	55.5345	44.4655	
005.982	55.5755	44.4245	
006.046	54.9739	45.0261	
006.110	54.8151	45.1849	
006.161	54.7235	45.2765	
006.230	54.6940	45.3060	
006.297	55.3495	44.6505	
006.358	56.2733	43.7267	
006.423	57.7654	42.2346	
006.482	58.8282	41.1718	
006.544	59.4627	40.5373	
006.597	59.6863	40.3137	
006.661	60.4184	39.5816	
006.717	60.6059	39.3941	
006.785	60.8733	39.1267	
006.845	60.2315	39.7685	
006.909	59.8929	40.1071	
006.969	59.5881	40.4119	
