time 	 LH 	 RH
7701	 7701	 7701 
000.070	50.0000	50.0000	
000.078	52.4176	47.5824	
000.140	54.7863	45.2137	
000.198	56.9419	43.0581	
000.259	58.7424	41.2576	
000.319	58.4344	41.5656	
000.378	59.1114	40.8886	
000.442	59.8481	40.1519	
000.502	58.1579	41.8421	
000.566	55.3857	44.6143	
000.630	52.7127	47.2873	
000.702	50.2189	49.7811	
000.754	47.9454	52.0546	
000.818	45.5760	54.4240	
000.879	43.3733	56.6267	
000.954	41.3093	58.6907	
001.013	39.5504	60.4496	
001.080	37.6182	62.3818	
001.130	35.8553	64.1447	
001.204	34.1481	65.8519	
001.266	33.3039	66.6961	
001.329	32.2040	67.7960	
001.389	34.3653	65.6347	
001.453	36.8312	63.1688	
001.503	39.0432	60.9568	
001.566	41.3872	58.6128	
001.638	43.6886	56.3114	
001.694	45.6894	54.3106	
001.754	47.2717	52.7283	
001.831	49.2999	50.7001	
001.891	51.4691	48.5309	
001.954	53.1395	46.8605	
002.015	55.0093	44.9907	
002.079	56.6737	43.3263	
002.146	54.2602	45.7398	
002.204	51.6223	48.3777	
002.266	49.1617	50.8383	
002.330	46.7354	53.2646	
002.391	44.4508	55.5492	
002.454	42.2731	57.7269	
002.514	40.2983	59.7017	
002.578	38.3437	61.6563	
002.642	36.6697	63.3303	
002.705	34.9515	65.0485	
002.766	33.4143	66.5857	
002.831	31.8869	68.1131	
002.891	33.1308	66.8692	
002.954	35.6524	64.3476	
003.003	37.3023	62.6977	
003.066	39.1555	60.8445	
003.142	41.9892	58.0108	
003.205	44.7728	55.2272	
003.265	47.0509	52.9491	
003.329	48.1721	51.8279	
003.390	49.3222	50.6778	
003.454	50.1089	49.8911	
003.516	50.1287	49.8713	
003.578	49.5656	50.4344	
003.642	51.0114	48.9886	
003.707	50.4872	49.5128	
003.769	50.9045	49.0955	
003.832	49.5242	50.4758	
003.892	48.1602	51.8398	
003.954	48.0859	51.9141	
004.014	50.0218	49.9782	
004.079	51.5972	48.4028	
004.143	52.8604	47.1396	
004.208	54.6569	45.3431	
004.268	56.8972	43.1028	
004.331	58.7232	41.2768	
004.391	60.5269	39.4731	
004.455	62.3207	37.6793	
004.517	64.2037	35.7963	
004.567	65.9918	34.0082	
004.640	67.6914	32.3086	
004.701	69.1825	30.8175	
004.763	70.7123	29.2877	
004.832	71.8914	28.1086	
004.893	73.2030	26.7970	
004.956	73.8916	26.1084	
005.014	75.1772	24.8228	
005.079	76.3652	23.6348	
005.142	77.2917	22.7083	
005.207	76.4000	23.6000	
005.268	77.1228	22.8772	
005.330	77.6896	22.3104	
005.391	76.8113	23.1887	
005.454	73.9284	26.0716	
005.515	73.0959	26.9041	
005.580	72.3407	27.6593	
005.642	69.8877	30.1123	
005.708	67.7849	32.2151	
005.767	67.0172	32.9828	
005.830	65.0573	34.9427	
005.891	65.7933	34.2067	
005.954	63.8605	36.1395	
006.013	65.2486	34.7514	
006.078	65.5302	34.4698	
006.142	66.8993	33.1007	
006.207	68.3697	31.6303	
006.269	69.8871	30.1129	
006.333	71.3492	28.6508	
006.386	72.7765	27.2235	
006.454	74.1351	25.8649	
006.507	75.4192	24.5808	
006.577	76.6248	23.3752	
006.642	77.7303	22.2697	
006.708	78.8206	21.1794	
006.769	79.6531	20.3469	
006.831	80.3918	19.6082	
006.892	81.2420	18.7580	
006.957	81.6514	18.3486	
007.015	82.1293	17.8707	
7702	 7702	 7702 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.054	50.0000	50.0000	
000.075	48.6079	51.3921	
000.121	46.6187	53.3813	
000.176	44.6914	55.3086	
000.241	43.4771	56.5229	
000.305	41.6901	58.3099	
000.369	39.7521	60.2479	
000.440	38.2708	61.7292	
000.504	36.8177	63.1823	
000.564	35.2024	64.7976	
000.630	33.9914	66.0086	
000.689	32.9034	67.0966	
000.753	31.7932	68.2068	
000.817	31.5516	68.4484	
000.882	32.7789	67.2211	
000.942	32.4625	67.5375	
001.003	31.6084	68.3916	
001.063	30.4857	69.5143	
001.132	29.3531	70.6469	
001.188	28.9304	71.0697	
001.252	28.7768	71.2232	
001.315	28.8185	71.1815	
001.379	27.6219	72.3781	
001.438	27.2873	72.7127	
001.506	27.1658	72.8342	
001.565	28.0503	71.9497	
001.634	28.8779	71.1221	
001.689	31.2678	68.7322	
001.753	34.1540	65.8460	
001.817	37.4029	62.5971	
001.882	40.5306	59.4694	
001.942	43.4964	56.5036	
002.004	46.2766	53.7234	
002.065	48.9450	51.0550	
002.133	51.4823	48.5177	
002.191	53.9073	46.0927	
002.255	56.2119	43.7881	
002.318	58.4011	41.5989	
002.382	60.4803	39.5197	
002.442	62.4562	37.5438	
002.499	64.3332	35.6668	
002.564	66.1112	33.8888	
002.632	67.7937	32.2063	
002.689	69.3916	30.6084	
002.751	70.9047	29.0952	
002.817	72.2260	27.7740	
002.881	73.5242	26.4758	
002.941	74.2604	25.7396	
003.005	74.7659	25.2341	
003.065	73.0263	26.9737	
003.132	72.7902	27.2098	
003.190	71.5641	28.4359	
003.254	69.8072	30.1928	
003.304	68.1031	31.8969	
003.367	68.5374	31.4626	
003.439	68.7223	31.2777	
003.505	68.9846	31.0154	
003.565	68.9293	31.0707	
003.632	67.2844	32.7156	
003.686	67.3899	32.6101	
003.753	66.1658	33.8342	
003.817	63.6197	36.3803	
003.882	62.8187	37.1813	
003.941	63.1675	36.8325	
004.005	62.5719	37.4281	
004.065	60.5280	39.4720	
004.134	60.3068	39.6932	
004.190	59.8818	40.1182	
004.254	58.9796	41.0204	
004.318	56.7873	43.2126	
004.381	57.9133	42.0867	
004.435	55.4903	44.5097	
004.504	56.9016	43.0984	
004.564	58.0833	41.9167	
004.633	59.8915	40.1085	
004.688	58.9229	41.0771	
004.752	60.5223	39.4777	
004.811	61.2034	38.7966	
004.880	62.8289	37.1711	
004.942	64.2644	35.7356	
005.004	65.9397	34.0603	
005.065	66.1497	33.8503	
005.132	67.0612	32.9388	
005.187	68.1807	31.8193	
005.251	69.2490	30.7510	
005.317	68.0298	31.9702	
005.381	68.6528	31.3472	
005.441	69.7823	30.2177	
005.505	70.2514	29.7486	
005.565	67.4039	32.5961	
005.633	68.6528	31.3472	
005.689	70.0416	29.9584	
005.753	71.4487	28.5513	
005.817	72.6409	27.3591	
005.881	73.9535	26.0465	
005.941	75.0771	24.9229	
006.007	75.8773	24.1227	
006.065	75.6298	24.3702	
006.131	75.9945	24.0055	
006.187	75.9329	24.0671	
006.252	75.6866	24.3134	
006.317	76.1689	23.8311	
006.381	76.6155	23.3845	
006.441	77.5067	22.4933	
006.507	78.3484	21.6516	
006.559	78.3488	21.6512	
006.634	78.9861	21.0139	
006.690	79.3013	20.6987	
006.754	79.0512	20.9488	
006.818	78.5993	21.4007	
006.881	79.3729	20.6271	
006.944	78.7477	21.2523	
006.992	79.3144	20.6856	
007.064	78.9311	21.0689	
7702	 7702	 7702 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.031	50.0000	50.0000	
000.036	52.0513	47.9487	
000.107	53.7312	46.2688	
000.173	55.4701	44.5299	
000.237	57.3339	42.6661	
000.296	59.2769	40.7231	
000.348	60.9194	39.0806	
000.424	62.4030	37.5970	
000.488	64.1188	35.8812	
000.545	65.8765	34.1235	
000.608	67.5521	32.4479	
000.671	69.1702	30.8298	
000.737	70.7108	29.2892	
000.798	72.1727	27.8273	
000.862	73.4091	26.5909	
000.925	74.4418	25.5582	
000.989	75.0400	24.9600	
001.047	73.7968	26.2032	
001.104	74.0461	25.9539	
001.174	74.3014	25.6986	
001.238	74.9704	25.0296	
001.291	74.2518	25.7482	
001.361	74.0927	25.9073	
001.425	73.0645	26.9355	
001.488	71.7075	28.2925	
001.543	68.9770	31.0230	
001.608	66.5321	33.4679	
001.673	66.3469	33.6531	
001.739	66.6935	33.3065	
001.799	67.5980	32.4020	
001.862	67.4738	32.5262	
001.925	68.3397	31.6603	
001.991	68.2992	31.7008	
002.033	68.8940	31.1060	
002.096	68.0162	31.9838	
002.173	68.5058	31.4942	
002.237	69.7033	30.2967	
002.285	70.7420	29.2580	
002.361	72.0997	27.9003	
002.425	73.3339	26.6661	
002.487	74.5016	25.4984	
002.545	75.4855	24.5145	
002.610	76.4953	23.5047	
002.674	76.9157	23.0843	
002.738	77.9463	22.0537	
002.798	78.8604	21.1396	
002.863	79.7625	20.2375	
002.927	80.3469	19.6531	
002.990	80.4365	19.5635	
003.046	80.1561	19.8439	
003.111	78.5992	21.4008	
003.174	79.1183	20.8817	
003.231	79.6822	20.3178	
003.297	79.0473	20.9527	
003.362	75.8071	24.1929	
003.426	76.4752	23.5248	
003.488	76.6914	23.3086	
003.543	75.3240	24.6760	
003.610	72.8637	27.1363	
003.674	73.1506	26.8494	
003.738	73.4409	26.5591	
003.798	70.9267	29.0733	
003.862	71.4307	28.5692	
003.924	72.5942	27.4058	
003.988	73.4682	26.5318	
004.043	72.1265	27.8735	
004.110	73.3496	26.6504	
004.174	74.4490	25.5510	
004.238	75.5284	24.4716	
004.298	73.8433	26.1567	
004.361	75.0553	24.9447	
004.425	76.0339	23.9661	
004.489	77.1909	22.8091	
004.546	78.1781	21.8219	
004.610	79.2659	20.7341	
004.674	80.2714	19.7286	
004.729	80.7720	19.2280	
004.788	79.9982	20.0018	
004.862	80.0024	19.9976	
004.926	80.5796	19.4204	
004.990	78.6740	21.3260	
005.045	79.0252	20.9748	
005.110	77.2631	22.7369	
005.174	76.8145	23.1855	
005.237	73.6899	26.3101	
005.297	73.2169	26.7831	
005.363	70.4463	29.5537	
005.412	68.1350	31.8650	
005.483	65.4631	34.5369	
005.548	65.9658	34.0342	
005.611	64.2950	35.7050	
005.675	61.6995	38.3005	
005.725	60.8180	39.1820	
005.797	60.6122	39.3878	
005.860	61.1106	38.8894	
005.925	60.4905	39.5095	
005.989	61.0752	38.9248	
006.046	62.5207	37.4793	
006.108	64.2513	35.7487	
006.174	65.5144	34.4856	
006.238	67.1293	32.8707	
006.298	68.3848	31.6152	
006.362	69.5056	30.4944	
006.428	70.1741	29.8259	
006.489	70.5865	29.4135	
006.545	69.9133	30.0867	
006.610	68.3466	31.6534	
006.675	67.6950	32.3050	
006.739	66.7659	33.2341	
006.800	64.9837	35.0163	
006.855	65.1949	34.8051	
006.924	65.4574	34.5426	
006.989	63.9609	36.0391	
007.045	62.8459	37.1541	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.059	50.0000	50.0000	
000.071	50.5732	49.4268	
000.132	52.6949	47.3051	
000.177	53.2373	46.7627	
000.245	53.9898	46.0102	
000.318	55.1705	44.8295	
000.382	57.1983	42.8017	
000.429	55.4896	44.5104	
000.505	53.6173	46.3827	
000.571	51.0809	48.9191	
000.635	49.0090	50.9910	
000.690	46.7687	53.2313	
000.759	44.6033	55.3967	
000.819	42.4751	57.5249	
000.882	40.3932	59.6068	
000.943	38.4284	61.5716	
001.008	36.5968	63.4032	
001.071	34.9046	65.0954	
001.134	33.3301	66.6699	
001.190	31.8874	68.1126	
001.258	30.5411	69.4589	
001.318	30.6564	69.3436	
001.382	30.2646	69.7354	
001.437	29.7951	70.2049	
001.507	30.4281	69.5719	
001.572	33.4622	66.5378	
001.628	36.6600	63.3400	
001.689	39.7925	60.2075	
001.759	42.6726	57.3274	
001.820	45.5229	54.4771	
001.883	48.1980	51.8020	
001.938	50.7852	49.2148	
002.001	53.2409	46.7591	
002.057	55.5742	44.4258	
002.133	57.7839	42.2161	
002.192	59.8946	40.1054	
002.259	61.8991	38.1009	
002.319	63.7978	36.2022	
002.383	65.2431	34.7569	
002.443	66.9384	33.0616	
002.509	68.4716	31.5284	
002.570	70.0254	29.9746	
002.636	71.1325	28.8675	
002.691	72.4659	27.5341	
002.759	73.3230	26.6770	
002.819	74.5913	25.4087	
002.883	75.5626	24.4374	
002.944	76.6190	23.3810	
003.006	77.6996	22.3004	
003.071	78.8095	21.1905	
003.135	79.8680	20.1320	
003.191	80.8745	19.1255	
003.259	81.8293	18.1707	
003.319	82.7037	17.2963	
003.370	83.3943	16.6057	
003.429	83.9644	16.0355	
003.493	84.6521	15.3479	
003.557	84.9387	15.0613	
003.622	85.2114	14.7886	
003.678	85.7188	14.2812	
003.746	86.2334	13.7666	
003.805	86.5031	13.4969	
003.870	86.6813	13.3187	
003.930	86.7994	13.2006	
003.994	87.1476	12.8524	
004.058	87.1666	12.8334	
004.121	86.6189	13.3811	
004.178	86.1026	13.8974	
004.245	84.3312	15.6688	
004.306	82.9935	17.0065	
004.369	81.0348	18.9652	
004.429	79.1056	20.8944	
004.493	76.2156	23.7844	
004.557	72.9630	27.0370	
004.621	70.0726	29.9274	
004.678	68.5782	31.4218	
004.746	66.6408	33.3592	
004.806	66.3086	33.6914	
004.869	64.7768	35.2232	
004.929	63.8172	36.1828	
004.993	63.0246	36.9754	
005.058	63.6431	36.3569	
005.121	63.3707	36.6293	
