time 	 LH 	 RH
7691	 7691	 7691 
000.052	50.0000	50.0000	
000.065	52.4130	47.5870	
000.092	54.7106	45.2894	
000.169	56.9247	43.0753	
000.243	59.0436	40.9564	
000.279	61.0157	38.9843	
000.338	62.8786	37.1214	
000.403	64.6611	35.3389	
000.462	66.3597	33.6403	
000.539	67.9772	32.0228	
000.607	69.5399	30.4601	
000.654	70.9838	29.0162	
000.719	72.3080	27.6920	
000.791	73.6062	26.3938	
000.856	74.8654	25.1346	
000.913	75.9535	24.0465	
000.975	76.9601	23.0399	
001.038	77.9902	22.0098	
001.101	78.9847	21.0153	
001.166	79.5577	20.4423	
001.226	80.0473	19.9527	
001.296	80.5588	19.4412	
001.343	80.9012	19.0988	
001.414	81.3759	18.6241	
001.475	81.9317	18.0683	
001.540	82.5247	17.4753	
001.631	82.9404	17.0596	
001.661	83.5258	16.4742	
001.728	84.1233	15.8767	
001.790	84.7572	15.2428	
001.851	85.3807	14.6193	
001.917	86.0741	13.9259	
001.975	86.7108	13.2892	
002.038	87.3569	12.6431	
002.102	87.9568	12.0432	
002.168	88.5404	11.4596	
002.229	89.0792	10.9208	
002.293	89.6045	10.3955	
002.351	90.0967	9.9033	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.056	50.0000	50.0000	
000.071	52.4202	47.5798	
000.133	54.6354	45.3645	
000.191	56.7478	43.2522	
000.255	58.8474	41.1526	
000.305	60.8033	39.1967	
000.369	62.6886	37.3114	
000.429	64.4818	35.5182	
000.493	66.2207	33.7793	
000.553	67.8500	32.1500	
000.621	69.3611	30.6389	
000.677	70.7702	29.2298	
000.741	72.0784	27.9216	
000.805	73.3669	26.6331	
000.869	74.6173	25.3827	
000.929	75.7953	24.2047	
000.993	76.8872	23.1128	
001.053	77.9518	22.0482	
001.121	79.0213	20.9787	
001.177	80.0168	19.9832	
001.241	80.8944	19.1056	
001.305	81.7070	18.2930	
001.369	82.5906	17.4094	
001.429	83.4275	16.5725	
001.493	84.2255	15.7745	
001.553	84.9440	15.0560	
001.621	85.6634	14.3366	
001.677	86.3625	13.6375	
001.741	87.0083	12.9917	
001.805	87.5992	12.4008	
001.869	88.1876	11.8124	
001.929	88.7283	11.2717	
001.993	89.2492	10.7508	
002.053	89.7316	10.2684	
002.121	90.1775	9.8225	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.042	50.0000	50.0000	
000.046	52.2961	47.7039	
000.122	54.2666	45.7334	
000.168	56.2417	43.7583	
000.245	58.1707	41.8293	
000.306	60.1174	39.8826	
000.373	61.9636	38.0364	
000.431	63.7502	36.2498	
000.495	65.3844	34.6156	
000.556	66.9985	33.0015	
000.619	68.5959	31.4041	
000.682	70.1395	29.8605	
000.744	71.6032	28.3968	
000.805	72.9944	27.0056	
000.874	74.3302	25.6698	
000.930	75.5973	24.4027	
000.982	76.7980	23.2020	
001.044	77.9425	22.0575	
001.121	79.0318	20.9682	
001.180	80.0658	19.9342	
001.245	81.0454	18.9546	
001.303	81.9485	18.0515	
001.373	82.8121	17.1879	
001.432	83.6506	16.3494	
001.495	84.4271	15.5729	
001.559	85.1233	14.8767	
001.622	85.7748	14.2252	
001.682	86.4673	13.5327	
001.746	87.1060	12.8940	
001.806	87.6756	12.3244	
001.873	88.2278	11.7722	
001.931	88.7866	11.2134	
001.994	89.2980	10.7020	
002.056	89.8160	10.1840	
002.122	90.2871	9.7129	
7702	 7702	 7702 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.041	50.0000	50.0000	
000.057	52.1131	47.8869	
000.114	53.6833	46.3167	
000.180	55.6773	44.3227	
000.229	57.7269	42.2731	
000.298	59.4499	40.5501	
000.362	61.1380	38.8620	
000.427	62.8784	37.1216	
000.487	64.6738	35.3262	
000.551	66.2852	33.7148	
000.616	67.7764	32.2236	
000.679	69.2909	30.7091	
000.735	70.7781	29.2219	
000.800	72.0300	27.9700	
000.862	73.3064	26.6936	
000.927	74.5867	25.4133	
000.987	75.8059	24.1941	
001.050	76.8970	23.1030	
001.114	77.8188	22.1812	
001.178	78.8588	21.1412	
001.235	79.7798	20.2202	
001.299	80.5444	19.4556	
001.363	81.2025	18.7975	
001.427	82.0267	17.9733	
001.488	82.7235	17.2765	
001.550	83.3046	16.6954	
001.615	83.8146	16.1854	
001.676	84.3273	15.6727	
001.735	84.8383	15.1617	
001.798	85.2799	14.7201	
001.864	85.8612	14.1388	
001.927	86.4214	13.5786	
001.986	86.8788	13.1212	
002.051	87.2592	12.7408	
002.115	87.7237	12.2763	
002.179	88.2158	11.7842	
002.229	88.6710	11.3290	
002.288	89.1791	10.8209	
002.360	89.6388	10.3612	
002.427	90.1329	9.8671	
7702	 7702	 7702 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.024	50.0000	50.0000	
000.037	52.3217	47.6783	
000.075	54.5640	45.4360	
000.149	56.7800	43.2200	
000.215	58.8313	41.1687	
000.279	60.7417	39.2583	
000.339	62.4962	37.5038	
000.404	64.2504	35.7496	
000.466	65.9411	34.0589	
000.530	67.5189	32.4811	
000.588	68.9028	31.0972	
000.651	70.2998	29.7002	
000.715	71.6958	28.3042	
000.767	72.9964	27.0036	
000.825	74.2436	25.7564	
000.901	75.4526	24.5474	
000.967	76.6230	23.3770	
001.032	77.7542	22.2458	
001.086	78.7579	21.2421	
001.150	79.7402	20.2598	
001.214	80.7142	19.2858	
001.278	81.6185	18.3815	
001.338	82.4655	17.5345	
001.403	83.2957	16.7043	
001.468	84.1098	15.8902	
001.532	84.8743	15.1257	
001.587	85.5215	14.4785	
001.650	86.0836	13.9164	
001.716	86.6409	13.3591	
001.780	87.0080	12.9920	
001.839	87.3363	12.6637	
001.903	87.6499	12.3501	
001.970	88.0307	11.9693	
002.026	88.4102	11.5898	
002.090	88.6028	11.3972	
002.153	88.9458	11.0542	
002.210	89.2525	10.7475	
002.282	89.5541	10.4459	
002.340	89.8214	10.1786	
002.402	89.9637	10.0364	
002.465	90.2837	9.7163	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.041	50.0000	50.0000	
000.045	52.3843	47.6157	
000.108	54.5965	45.4035	
000.179	56.7000	43.3000	
000.244	58.7179	41.2820	
000.309	60.4779	39.5221	
000.364	62.2713	37.7287	
000.431	63.9336	36.0664	
000.480	65.5101	34.4900	
000.543	66.9864	33.0136	
000.603	68.3350	31.6650	
000.667	69.6974	30.3026	
000.731	71.0940	28.9060	
000.806	72.2167	27.7833	
000.864	73.1217	26.8783	
000.933	74.1374	25.8626	
000.994	75.1415	24.8585	
001.051	76.1719	23.8281	
001.117	76.5617	23.4383	
001.181	77.3175	22.6825	
001.245	78.1699	21.8301	
001.309	78.8917	21.1083	
001.365	79.2968	20.7032	
001.433	79.6836	20.3164	
001.493	80.0624	19.9376	
001.558	80.4828	19.5172	
001.616	80.8643	19.1357	
001.680	81.1042	18.8958	
001.744	81.6951	18.3049	
001.809	82.0498	17.9502	
001.864	82.7225	17.2775	
001.932	83.3000	16.7000	
001.992	83.8735	16.1265	
002.056	84.3747	15.6253	
002.116	85.0006	14.9994	
002.180	85.5762	14.4238	
002.244	86.2011	13.7989	
002.308	86.6383	13.3617	
002.365	87.1992	12.8008	
002.433	87.7822	12.2178	
002.493	88.3452	11.6548	
002.557	88.8470	11.1530	
002.618	89.3184	10.6816	
002.682	89.8022	10.1978	
