time 	 LH 	 RH
7691	 7691	 7691 
000.063	50.0000	50.0000	
000.078	49.3107	50.6893	
000.104	49.2856	50.7144	
000.176	49.2312	50.7688	
000.251	48.8235	51.1765	
000.286	47.7953	52.2048	
000.364	47.5775	52.4225	
000.412	47.0525	52.9475	
000.472	47.3777	52.6223	
000.535	47.0869	52.9131	
000.599	47.8572	52.1428	
000.659	47.4616	52.5384	
000.724	48.1960	51.8040	
000.783	48.5933	51.4067	
000.848	50.0262	49.9738	
000.912	49.6124	50.3876	
000.985	50.4633	49.5367	
001.049	50.4153	49.5847	
001.113	51.3798	48.6202	
001.173	51.0318	48.9682	
001.237	51.1648	48.8352	
001.297	51.7547	48.2453	
001.362	52.6723	47.3277	
001.426	52.1119	47.8881	
001.477	52.3846	47.6154	
001.535	52.7595	47.2405	
001.600	53.0072	46.9928	
001.676	52.7540	47.2460	
001.724	53.3243	46.6757	
001.791	53.9794	46.0206	
001.863	55.0547	44.9453	
001.927	55.1727	44.8273	
001.980	55.6028	44.3972	
002.036	55.2581	44.7419	
002.116	55.0766	44.9234	
002.174	54.5289	45.4711	
002.238	54.6271	45.3729	
002.298	54.5627	45.4373	
002.362	55.0846	44.9154	
002.426	55.2500	44.7500	
002.485	54.3060	45.6940	
002.550	53.9564	46.0436	
002.607	52.5046	47.4954	
002.674	51.1832	48.8169	
002.737	50.3210	49.6790	
002.785	50.0125	49.9875	
002.848	49.1809	50.8191	
002.924	48.4702	51.5298	
002.986	47.8381	52.1619	
003.053	47.0691	52.9309	
003.101	47.1379	52.8621	
003.161	46.5992	53.4008	
003.236	47.1604	52.8396	
003.296	46.4762	53.5238	
003.361	47.4587	52.5413	
003.424	47.3401	52.6599	
003.486	46.9008	53.0992	
003.577	46.6656	53.3344	
003.603	46.6568	53.3432	
003.660	46.3591	53.6409	
003.724	45.2077	54.7923	
003.783	45.3645	54.6355	
003.847	44.9310	55.0690	
003.911	45.2065	54.7935	
003.971	44.5892	55.4107	
004.036	45.2290	54.7710	
004.099	45.5051	54.4949	
004.160	45.5373	54.4627	
004.223	45.0541	54.9459	
004.283	44.8591	55.1409	
004.363	44.1159	55.8841	
004.426	44.3454	55.6546	
004.483	45.0858	54.9142	
004.550	46.0480	53.9520	
004.613	46.1562	53.8438	
004.673	46.4754	53.5246	
004.740	46.2727	53.7273	
004.799	47.0345	52.9655	
004.862	45.9323	54.0677	
004.926	45.7786	54.2214	
004.973	45.5537	54.4463	
005.049	46.5820	53.4180	
005.115	46.9466	53.0534	
005.174	47.0972	52.9028	
005.237	47.5819	52.4181	
005.297	48.9376	51.0624	
005.362	48.7888	51.2112	
005.426	48.9313	51.0687	
005.486	48.6795	51.3205	
005.550	48.2286	51.7714	
005.613	47.6746	52.3254	
005.673	48.0662	51.9338	
005.738	48.9322	51.0678	
005.798	48.5137	51.4863	
005.862	48.2038	51.7962	
005.925	48.6668	51.3332	
005.986	49.6754	50.3246	
006.049	49.3626	50.6374	
006.114	48.4991	51.5009	
006.175	48.5781	51.4219	
006.239	50.1662	49.8338	
006.297	50.4025	49.5975	
006.362	50.4110	49.5890	
006.426	50.2278	49.7722	
006.486	51.7622	48.2378	
006.549	51.4112	48.5888	
006.614	52.0250	47.9750	
006.676	51.1922	48.8078	
006.740	51.0167	48.9833	
006.798	49.6698	50.3302	
006.863	48.7117	51.2883	
006.926	47.5156	52.4844	
006.986	46.6467	53.3533	
007.050	45.6667	54.3333	
7692	 7692	 7692 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.039	50.0000	50.0000	
000.048	51.2107	48.7893	
000.106	52.0366	47.9634	
000.170	52.7723	47.2277	
000.229	54.3268	45.6732	
000.293	55.5042	44.4958	
000.353	56.2868	43.7132	
000.417	56.4501	43.5499	
000.481	57.3837	42.6163	
000.541	57.6276	42.3724	
000.605	57.6446	42.3554	
000.670	58.2598	41.7402	
000.745	58.8721	41.1279	
000.808	59.0541	40.9459	
000.870	59.7339	40.2661	
000.931	60.1414	39.8586	
000.995	59.9485	40.0515	
001.055	60.6130	39.3870	
001.121	60.8424	39.1576	
001.183	61.7596	38.2404	
001.243	61.8735	38.1265	
001.307	62.9934	37.0066	
001.367	63.6070	36.3930	
001.431	63.7270	36.2730	
001.495	63.2749	36.7251	
001.557	63.5849	36.4151	
001.620	63.3798	36.6202	
001.683	61.9632	38.0368	
001.747	61.7077	38.2923	
001.808	60.8977	39.1023	
001.867	60.6070	39.3930	
001.931	59.7560	40.2440	
001.994	59.0528	40.9472	
002.055	58.3639	41.6361	
002.119	57.4863	42.5137	
002.173	57.8341	42.1659	
002.245	57.8959	42.1041	
002.307	57.6996	42.3004	
002.367	56.8112	43.1888	
002.431	57.1704	42.8296	
002.495	56.8353	43.1647	
002.555	57.2965	42.7035	
002.619	56.8119	43.1881	
002.683	57.6517	42.3483	
002.747	57.2140	42.7860	
002.807	57.4224	42.5776	
002.867	56.4370	43.5630	
002.933	56.1385	43.8615	
002.996	55.1504	44.8496	
003.047	55.1949	44.8051	
003.119	54.8772	45.1228	
003.186	56.4286	43.5714	
003.236	56.8949	43.1051	
003.293	57.5476	42.4524	
003.353	57.5082	42.4918	
003.418	58.8469	41.1531	
003.481	59.5706	40.4294	
003.541	60.7625	39.2375	
003.605	61.5656	38.4344	
003.669	63.0105	36.9895	
003.733	64.3129	35.6871	
003.793	65.1701	34.8299	
003.853	65.6902	34.3098	
003.917	65.7462	34.2538	
003.981	65.3369	34.6631	
004.041	65.0096	34.9904	
004.105	65.8194	34.1806	
004.184	65.0755	34.9245	
004.248	65.0566	34.9434	
004.310	64.9310	35.0690	
004.354	65.5402	34.4598	
004.418	64.5461	35.4539	
004.481	64.8114	35.1886	
004.541	64.8595	35.1405	
004.605	66.0510	33.9490	
004.669	66.1827	33.8173	
004.733	67.0975	32.9025	
004.793	67.7611	32.2389	
004.853	68.4672	31.5328	
004.917	68.8600	31.1400	
004.981	69.6318	30.3682	
005.041	69.9872	30.0128	
005.105	70.6163	29.3837	
005.169	70.9869	29.0131	
005.233	69.3207	30.6793	
005.293	68.7167	31.2833	
005.367	66.9632	33.0368	
005.431	67.0016	32.9984	
005.496	65.2374	34.7626	
005.556	62.8592	37.1408	
