time 	 LH 	 RH
7691	 7691	 7691 
000.068	50.0000	50.0000	
000.084	49.8069	50.1931	
000.104	49.6158	50.3842	
000.170	48.7541	51.2459	
000.234	48.0937	51.9063	
000.289	47.5862	52.4138	
000.369	47.4896	52.5104	
000.416	47.1098	52.8902	
000.492	47.0784	52.9216	
000.540	47.0663	52.9337	
000.600	46.5965	53.4035	
000.679	44.9469	55.0531	
000.743	44.5880	55.4120	
000.796	43.5484	56.4516	
000.867	43.3730	56.6270	
000.931	42.3670	57.6330	
000.976	41.9264	58.0736	
001.055	40.4954	59.5046	
001.115	39.3787	60.6213	
001.178	37.9325	62.0675	
001.233	36.9673	63.0327	
001.301	35.6324	64.3676	
001.351	34.5160	65.4840	
001.415	33.3820	66.6180	
001.490	32.0965	67.9035	
001.553	31.3047	68.6953	
001.614	30.3454	69.6546	
001.677	29.6775	70.3225	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.029	50.0000	50.0000	
000.048	48.5488	51.4512	
000.092	47.0461	52.9539	
000.151	45.6419	54.3581	
000.214	44.9230	55.0770	
000.274	43.8231	56.1769	
000.352	42.7033	57.2967	
000.416	41.5261	58.4739	
000.466	41.7695	58.2305	
000.541	40.6828	59.3172	
000.604	40.9120	59.0880	
000.664	40.0054	59.9946	
000.728	40.4067	59.5933	
000.781	39.3070	60.6930	
000.854	38.5676	61.4324	
000.917	37.7024	62.2976	
000.974	37.8551	62.1449	
001.039	37.7418	62.2582	
001.104	37.7925	62.2075	
001.164	38.0400	61.9600	
001.228	38.0036	61.9964	
001.275	37.8898	62.1102	
001.338	37.2750	62.7250	
001.402	36.8715	63.1285	
001.462	36.3827	63.6173	
001.525	36.2879	63.7121	
001.598	36.0541	63.9459	
001.663	35.8159	64.1841	
001.728	35.0847	64.9153	
001.787	34.6571	65.3429	
001.838	33.7323	66.2677	
001.916	33.0815	66.9185	
001.976	32.6084	67.3916	
002.039	32.9425	67.0575	
002.104	32.3632	67.6368	
002.164	32.6364	67.3636	
002.228	32.3902	67.6098	
002.288	32.8119	67.1881	
002.351	32.3517	67.6483	
002.417	32.6695	67.3305	
002.477	32.6849	67.3151	
002.541	32.9153	67.0847	
002.591	32.8358	67.1642	
002.650	33.0431	66.9569	
002.714	33.0405	66.9595	
002.774	33.6174	66.3826	
002.838	33.6232	66.3768	
002.902	34.4842	65.5158	
002.975	34.7309	65.2691	
003.039	35.8468	64.1532	
003.090	35.7817	64.2183	
003.164	36.0847	63.9153	
003.214	35.8228	64.1772	
003.273	36.0263	63.9737	
003.337	35.7626	64.2374	
003.401	36.1529	63.8471	
003.462	36.0061	63.9939	
003.539	36.1345	63.8655	
003.603	36.1061	63.8939	
003.663	35.4810	64.5190	
003.728	35.5451	64.4549	
003.788	35.9733	64.0267	
003.852	37.4304	62.5696	
003.915	38.6734	61.3266	
003.977	39.9111	60.0889	
004.040	41.4256	58.5744	
004.104	42.2923	57.7077	
004.166	42.8428	57.1572	
004.229	41.9645	58.0355	
004.290	42.0235	57.9765	
004.346	41.2582	58.7418	
004.416	40.4134	59.5866	
004.476	39.6285	60.3715	
004.540	39.4006	60.5994	
004.604	38.1863	61.8137	
004.664	36.6839	63.3161	
004.728	35.4830	64.5170	
004.781	34.5363	65.4637	
004.852	33.4759	66.5241	
004.916	32.1695	67.8305	
004.975	32.0449	67.9551	
005.039	32.1265	67.8735	
005.105	31.5670	68.4330	
005.152	31.4130	68.5870	
005.227	31.5794	68.4206	
005.274	32.5734	67.4266	
005.338	33.0022	66.9978	
005.402	33.4578	66.5422	
005.462	34.4249	65.5751	
005.526	34.7711	65.2289	
005.590	35.2616	64.7384	
005.650	34.7692	65.2308	
005.728	34.9846	65.0154	
005.788	34.4021	65.5979	
005.853	34.1329	65.8671	
005.917	33.2783	66.7217	
005.962	32.9417	67.0583	
006.041	32.2588	67.7412	
006.103	31.2096	68.7904	
006.153	30.2772	69.7228	
006.229	29.4954	70.5046	
7692	 7692	 7692 
7701	 7701	 7701 
000.000	50.0000	50.0000	
