time 	 LH 	 RH
7701	 7701	 7701 
000.063	50.0000	50.0000	
000.076	52.4967	47.5033	
000.101	54.8636	45.1364	
000.173	57.1192	42.8808	
000.250	59.2621	40.7379	
000.287	61.2989	38.7011	
000.359	63.2339	36.7661	
000.418	65.0722	34.9278	
000.483	66.8186	33.1814	
000.549	68.4777	31.5223	
000.600	70.0538	29.9462	
000.671	71.5511	28.4489	
000.736	72.9735	27.0265	
000.783	74.3249	25.6751	
000.861	75.6086	24.3914	
000.919	76.8282	23.1718	
000.985	77.9868	22.0132	
001.047	79.0874	20.9126	
001.112	80.1331	19.8669	
001.173	81.1264	18.8736	
001.235	82.0701	17.9299	
001.296	82.9666	17.0334	
001.359	83.8183	16.1817	
001.426	84.6273	15.3727	
001.474	85.3959	14.6041	
001.546	86.1257	13.8743	
001.639	86.8192	13.1808	
001.660	87.4776	12.5224	
001.722	88.1030	11.8970	
001.782	88.6969	11.3031	
001.850	89.2620	10.7380	
001.906	89.7985	10.2015	
001.970	90.3080	9.6920	
7702	 7702	 7702 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.042	50.0000	50.0000	
000.055	52.5000	47.5000	
000.112	54.8748	45.1252	
000.179	57.1289	42.8711	
000.237	59.2716	40.7284	
000.300	61.3081	38.6919	
000.363	63.2426	36.7574	
000.428	65.0801	34.9199	
000.487	66.8167	33.1833	
000.552	68.4741	31.5259	
000.612	70.0503	29.9497	
000.680	71.5477	28.4523	
000.735	72.9703	27.0297	
000.786	74.3218	25.6782	
000.850	75.6056	24.3944	
000.914	76.8253	23.1747	
000.974	77.9837	22.0163	
001.038	79.0759	20.9241	
001.098	80.0731	19.9269	
001.166	81.0653	18.9347	
001.222	82.0120	17.9880	
001.286	82.9114	17.0886	
001.350	83.7581	16.2419	
001.414	84.5685	15.4315	
001.474	85.3398	14.6602	
001.538	86.0649	13.9352	
001.598	85.4181	14.5819	
001.666	85.8392	14.1608	
001.722	86.5424	13.4576	
001.786	87.2152	12.7848	
001.850	87.8522	12.1478	
001.914	88.4189	11.5811	
001.974	88.9923	11.0077	
002.038	89.5422	10.4578	
002.098	90.0644	9.9356	
7693	 7693	 7693 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.018	50.0000	50.0000	
000.022	50.0000	50.0000	
000.075	54.8749	45.1251	
000.139	57.1311	42.8689	
000.203	59.2746	40.7254	
000.263	61.3108	38.6892	
000.327	63.2452	36.7548	
000.391	65.0829	34.9171	
000.455	66.8288	33.1712	
000.512	68.4874	31.5126	
000.575	70.0630	29.9370	
000.639	71.5598	28.4402	
000.703	72.9818	27.0182	
000.763	74.3327	25.6673	
000.827	75.6161	24.3839	
000.891	76.8352	23.1648	
000.956	77.9929	22.0071	
001.011	79.0932	20.9068	
001.075	80.1385	19.8615	
001.139	81.1312	18.8688	
001.203	82.0652	17.9348	
001.264	82.9617	17.0383	
001.328	83.8135	16.1865	
001.402	84.6228	15.3772	
001.467	85.3911	14.6089	
001.526	86.1216	13.8784	
001.589	86.8155	13.1845	
001.654	87.4747	12.5253	
001.717	88.1010	11.8990	
001.778	88.6959	11.3041	
001.842	89.2611	10.7389	
001.908	89.7980	10.2020	
001.968	90.3080	9.6920	
7702	 7702	 7702 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.060	50.0000	50.0000	
000.064	52.5000	47.5000	
000.126	54.8750	45.1250	
000.190	57.1312	42.8688	
000.246	59.2747	40.7253	
000.310	61.3109	38.6891	
000.374	63.2454	36.7546	
000.438	65.0831	34.9169	
000.498	66.8290	33.1710	
000.562	68.4875	31.5125	
000.626	70.0631	29.9369	
000.690	71.5600	28.4400	
000.759	72.9820	27.0180	
000.822	74.3329	25.6671	
000.885	75.6162	24.3838	
000.949	76.8354	23.1646	
001.009	77.9937	22.0063	
001.074	79.0940	20.9060	
001.139	80.1393	19.8607	
001.202	81.1323	18.8677	
001.259	82.0757	17.9243	
001.323	82.9719	17.0281	
001.387	83.8233	16.1767	
001.445	84.6321	15.3679	
001.510	85.4005	14.5995	
001.576	86.1305	13.8695	
001.639	86.8240	13.1760	
001.704	87.4828	12.5172	
001.761	88.1086	11.8914	
001.821	88.7032	11.2968	
001.887	89.2681	10.7319	
001.952	89.8046	10.1954	
002.012	90.3144	9.6856	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.033	50.0000	50.0000	
000.043	52.4985	47.5015	
000.074	54.8615	45.1385	
000.137	56.9198	43.0802	
000.209	57.9858	42.0142	
000.272	59.6103	40.3897	
000.339	61.5705	38.4295	
000.402	63.3906	36.6094	
000.458	65.0444	34.9556	
000.526	66.4657	33.5343	
000.587	68.0696	31.9304	
000.652	69.6362	30.3638	
000.710	71.1481	28.8519	
000.774	72.5875	27.4125	
000.838	73.9577	26.0423	
000.902	75.2598	24.7402	
000.958	76.4968	23.5032	
001.026	77.6708	22.3292	
001.087	78.7851	21.2149	
001.152	79.8457	20.1543	
001.212	80.8534	19.1466	
001.274	81.8107	18.1893	
001.339	82.7202	17.2798	
001.404	83.5842	16.4158	
001.460	84.4049	15.5951	
001.526	85.1845	14.8155	
001.585	85.9252	14.0748	
001.654	86.6289	13.3711	
001.699	87.2975	12.7025	
001.761	87.9326	12.0674	
001.837	88.5360	11.4640	
001.901	89.1092	10.8908	
001.957	89.6537	10.3463	
002.026	90.1710	9.8290	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.045	50.0000	50.0000	
000.048	52.5000	47.5000	
000.103	54.8750	45.1250	
000.170	57.1312	42.8688	
000.231	59.2747	40.7253	
000.294	61.3110	38.6890	
000.355	63.2454	36.7546	
000.419	65.0831	34.9169	
000.483	66.8290	33.1710	
000.546	68.4875	31.5125	
000.603	70.0631	29.9368	
000.670	71.5600	28.4400	
000.731	72.9820	27.0180	
000.794	74.3329	25.6671	
000.855	75.6163	24.3837	
000.918	76.8354	23.1646	
000.983	77.9937	22.0063	
001.047	79.0940	20.9060	
001.103	80.1393	19.8607	
001.171	81.1323	18.8677	
001.231	82.0757	17.9243	
001.295	82.9719	17.0281	
001.355	83.8233	16.1767	
001.419	84.6322	15.3678	
001.483	85.4005	14.5995	
001.547	86.1305	13.8695	
001.603	86.8240	13.1760	
001.671	87.4828	12.5172	
001.731	88.1087	11.8913	
001.795	88.7032	11.2968	
001.855	89.2681	10.7319	
001.930	89.8047	10.1953	
001.994	90.3144	9.6856	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.055	50.0000	50.0000	
000.069	52.5000	47.5000	
000.118	54.8750	45.1250	
000.186	57.1312	42.8688	
000.250	59.2747	40.7253	
000.316	61.3110	38.6890	
000.374	63.2454	36.7546	
000.439	65.0831	34.9169	
000.498	66.8288	33.1712	
000.563	68.4873	31.5127	
000.624	70.0628	29.9372	
000.688	71.5586	28.4414	
000.752	72.9796	27.0204	
000.815	74.3302	25.6698	
000.876	75.6133	24.3867	
000.938	76.8315	23.1685	
001.000	77.7918	22.2082	
001.063	78.9019	21.0981	
001.122	79.9568	20.0432	
001.186	80.9589	19.0411	
001.250	81.9110	18.0890	
001.314	82.8154	17.1846	
001.376	83.6747	16.3253	
001.440	84.4909	15.5091	
001.498	85.2664	14.7336	
001.563	86.0030	13.9970	
001.624	86.7028	13.2972	
001.688	87.3677	12.6323	
001.753	87.9993	12.0007	
001.815	88.5993	11.4007	
001.874	89.1693	10.8307	
001.938	89.7108	10.2892	
001.999	90.2252	9.7748	
7702	 7702	 7702 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.028	50.0000	50.0000	
000.033	52.5000	47.5000	
000.105	54.8750	45.1250	
000.166	57.1312	42.8688	
000.229	59.2747	40.7253	
000.293	61.3110	38.6891	
000.357	63.2454	36.7546	
000.419	65.0831	34.9169	
000.483	66.8290	33.1710	
000.543	68.4875	31.5125	
000.609	70.0631	29.9369	
000.654	71.5600	28.4400	
000.718	72.9820	27.0180	
000.778	74.3329	25.6671	
000.842	75.6162	24.3838	
000.906	76.8354	23.1646	
000.970	77.9937	22.0063	
001.030	79.0940	20.9060	
001.094	80.1393	19.8607	
001.154	81.1323	18.8677	
001.218	82.0757	17.9243	
001.278	82.9719	17.0281	
001.342	83.8233	16.1767	
001.406	84.6322	15.3678	
001.470	85.4005	14.5995	
001.530	86.1305	13.8695	
001.594	86.8240	13.1760	
001.654	87.4828	12.5172	
001.718	88.1084	11.8916	
001.778	88.7028	11.2972	
001.842	89.2303	10.7697	
001.906	89.7533	10.2467	
001.970	90.1671	9.8329	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.044	50.0000	50.0000	
000.047	52.5000	47.5000	
000.114	54.8750	45.1250	
000.170	57.1312	42.8688	
000.234	59.2747	40.7253	
000.298	61.3110	38.6890	
000.362	63.2454	36.7546	
000.422	65.0831	34.9169	
000.486	66.8290	33.1710	
000.546	68.4875	31.5125	
000.614	70.0632	29.9368	
000.670	71.5600	28.4400	
000.734	72.9820	27.0180	
000.802	74.3329	25.6671	
000.873	75.6162	24.3838	
000.934	76.8354	23.1646	
000.997	77.9936	22.0064	
001.059	79.0940	20.9060	
001.127	80.1392	19.8607	
001.182	81.1323	18.8677	
001.245	82.0756	17.9244	
001.309	82.9718	17.0282	
001.374	83.8232	16.1768	
001.436	84.6320	15.3680	
001.499	85.4004	14.5996	
001.559	86.1304	13.8697	
001.625	86.8238	13.1762	
001.681	87.4826	12.5174	
001.747	88.1085	11.8915	
001.812	88.7031	11.2969	
001.876	89.2679	10.7321	
001.937	89.8045	10.1955	
001.997	90.3143	9.6857	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
