time 	 LH 	 RH
7701	 7701	 7701 
000.073	50.0000	50.0000	
000.087	52.4999	47.5001	
000.113	54.8748	45.1252	
000.189	57.1307	42.8693	
000.274	59.2733	40.7267	
000.301	61.3080	38.6920	
000.376	63.2426	36.7574	
000.441	65.0805	34.9195	
000.491	66.8264	33.1736	
000.552	68.4850	31.5150	
000.623	70.0602	29.9398	
000.687	71.5567	28.4433	
000.750	72.9788	27.0211	
000.811	74.3299	25.6701	
000.877	75.6133	24.3867	
000.935	76.8327	23.1673	
000.992	77.9910	22.0090	
001.053	79.0915	20.9085	
001.124	80.1369	19.8631	
001.178	81.1301	18.8699	
001.251	82.0736	17.9264	
001.311	82.9699	17.0301	
001.376	83.8214	16.1786	
001.429	84.6303	15.3697	
001.504	85.3988	14.6012	
001.559	86.1289	13.8711	
001.647	86.8224	13.1776	
001.688	87.4813	12.5187	
001.751	88.1072	11.8928	
001.799	88.7017	11.2983	
001.863	89.2666	10.7334	
001.936	89.8033	10.1967	
002.002	90.3131	9.6869	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.047	50.0000	50.0000	
000.051	52.4973	47.5027	
000.113	54.8690	45.1310	
000.173	57.1196	42.8804	
000.241	59.2602	40.7398	
000.297	61.2971	38.7029	
000.361	63.2323	36.7677	
000.437	65.0707	34.9293	
000.502	66.8170	33.1830	
000.564	68.4761	31.5239	
000.625	70.0521	29.9479	
000.687	71.5391	28.4609	
000.755	72.9516	27.0484	
000.811	74.3023	25.6977	
000.875	75.5866	24.4134	
000.939	76.7970	23.2030	
001.003	77.9462	22.0538	
001.063	79.0480	20.9520	
001.128	80.0954	19.9046	
001.187	81.0854	18.9146	
001.257	82.0230	17.9770	
001.311	82.9202	17.0798	
001.377	83.7740	16.2260	
001.433	84.5806	15.4194	
001.490	85.2455	14.7545	
001.562	85.9626	14.0374	
001.627	86.6639	13.3361	
001.686	87.3271	12.6729	
001.754	87.9535	12.0465	
001.810	88.5167	11.4833	
001.875	89.0541	10.9459	
001.939	89.5809	10.4191	
001.990	90.0981	9.9019	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.024	50.0000	50.0000	
000.038	52.5000	47.5000	
000.094	54.8750	45.1250	
000.159	57.1305	42.8695	
000.223	59.2318	40.7682	
000.283	61.1255	38.8745	
000.348	62.8539	37.1461	
000.410	63.8923	36.1077	
000.475	64.6628	35.3372	
000.530	66.3552	33.6448	
000.595	68.0297	31.9703	
000.658	69.4158	30.5842	
000.722	70.0085	29.9915	
000.782	71.3786	28.6214	
000.846	72.7764	27.2236	
000.910	74.0880	25.9119	
000.974	75.3304	24.6696	
001.030	76.5593	23.4407	
001.094	77.7310	22.2690	
001.158	78.8443	21.1557	
001.221	79.8981	20.1019	
001.282	80.8827	19.1173	
001.346	81.3619	18.6381	
001.412	82.2780	17.7220	
001.461	83.1295	16.8705	
001.517	83.8848	16.1152	
001.581	83.7680	16.2320	
001.645	84.5096	15.4904	
001.709	84.1464	15.8536	
001.769	84.4699	15.5301	
001.833	84.8888	15.1112	
001.897	85.5765	14.4235	
001.961	86.1394	13.8606	
002.017	86.8163	13.1837	
002.081	87.4668	12.5332	
002.145	88.0908	11.9092	
002.209	88.6780	11.3220	
002.269	89.2406	10.7594	
002.333	89.7753	10.2247	
002.397	90.2795	9.7205	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.042	50.0000	50.0000	
000.059	51.8053	48.1947	
000.110	53.4703	46.5297	
000.180	55.6542	44.3458	
000.240	57.6932	42.3068	
000.304	56.7402	43.2598	
000.368	56.4478	43.5522	
000.432	55.8230	44.1770	
000.488	56.2161	43.7839	
000.552	53.8754	46.1246	
000.616	52.7872	47.2128	
000.679	51.6083	48.3917	
000.740	54.0124	45.9876	
000.804	56.2999	43.7001	
000.868	58.4842	41.5158	
000.932	60.5371	39.4629	
000.990	62.5093	37.4907	
001.052	64.3834	35.6166	
001.117	66.1641	33.8359	
001.181	67.8552	32.1448	
001.240	69.4616	30.5384	
001.304	70.9840	29.0160	
001.366	72.4347	27.5653	
001.433	73.8130	26.1870	
001.489	75.1222	24.8778	
001.552	76.3659	23.6341	
001.616	77.5475	22.4525	
001.681	78.6700	21.3300	
001.740	79.7310	20.2690	
