subject,electrode,session_id,class1_accuracy,class2_accuracy,total_accuracy,sample_bias
4,Gel,2,0.571917808219178,0.5347137637028014,0.5501779359430605,0.0372040445163766
4,Poly,2,0.09774436090225563,0.8698630136986302,0.5017921146953405,0.7721186527963746
5,Gel,2,0.6423473433782713,0.4946236559139785,0.5700404858299595,0.14772368746429276
5,Poly,2,0.46649029982363316,0.45892351274787535,0.4628362973096215,0.007566787075757808
6,Gel,2,0.6635730858468677,0.6576271186440678,0.6611570247933884,0.00594596720279994
6,Poly,2,0.30569948186528495,0.7323943661971831,0.5295566502463054,0.42669488433189817
6,Poly,2,0.30569948186528495,0.7323943661971831,0.5295566502463054,0.42669488433189817
