time 	 LH 	 RH
7691	 7691	 7691 
000.040	50.0000	50.0000	
000.053	50.1325	49.8675	
000.108	50.0677	49.9323	
000.177	50.3026	49.6974	
000.252	51.5680	48.4320	
000.290	52.1787	47.8213	
000.369	52.9941	47.0059	
000.413	53.4071	46.5929	
000.477	53.6786	46.3214	
000.536	53.2523	46.7477	
000.615	53.1021	46.8979	
000.672	52.0527	47.9473	
000.735	51.1626	48.8374	
000.798	50.9500	49.0500	
000.862	51.1299	48.8701	
000.925	51.0248	48.9752	
000.990	50.9434	49.0566	
001.043	50.4616	49.5384	
001.114	49.0498	50.9502	
001.174	47.5423	52.4577	
001.236	47.3585	52.6415	
001.303	47.0015	52.9985	
001.365	46.4790	53.5210	
001.426	46.5827	53.4173	
001.483	46.8888	53.1112	
001.536	46.4333	53.5667	
001.614	45.9814	54.0186	
001.675	47.0566	52.9434	
001.730	47.4900	52.5100	
001.811	47.8165	52.1835	
001.854	48.0840	51.9159	
001.912	49.2927	50.7073	
001.993	49.9811	50.0189	
002.043	50.6635	49.3365	
002.114	51.3248	48.6752	
002.174	52.6287	47.3713	
002.240	53.3230	46.6770	
002.302	53.7779	46.2221	
002.366	54.5891	45.4109	
002.427	55.2013	44.7987	
002.490	55.0863	44.9137	
002.549	54.1011	45.8989	
002.613	53.8403	46.1597	
002.674	53.7872	46.2128	
002.738	51.9703	48.0297	
002.804	49.8645	50.1355	
002.864	48.3112	51.6888	
002.929	47.4457	52.5543	
002.978	46.5975	53.4025	
003.037	44.8347	55.1653	
003.103	43.8162	56.1838	
003.175	44.0419	55.9581	
003.239	44.0442	55.9558	
003.302	43.0122	56.9878	
003.365	42.3528	57.6472	
003.425	42.2812	57.7188	
003.481	42.2036	57.7964	
003.548	41.2521	58.7479	
003.604	41.0182	58.9818	
003.673	41.1546	58.8454	
003.734	40.3948	59.6052	
003.795	40.0750	59.9250	
003.868	39.2375	60.7625	
003.921	38.8846	61.1154	
003.983	37.8128	62.1872	
004.052	37.2791	62.7209	
004.114	36.4614	63.5386	
004.167	36.3478	63.6522	
004.238	36.6864	63.3135	
004.288	36.5076	63.4924	
004.366	35.9724	64.0275	
004.426	35.3268	64.6732	
004.490	35.3262	64.6738	
004.537	34.3731	65.6269	
004.613	33.8992	66.1008	
004.674	33.9946	66.0054	
004.741	36.1100	63.8900	
004.802	36.9812	63.0188	
004.866	37.8320	62.1680	
004.926	38.3090	61.6910	
004.985	38.9811	61.0189	
005.046	40.2732	59.7268	
005.115	40.5741	59.4259	
005.174	40.5925	59.4075	
005.232	40.4052	59.5948	
005.302	40.9970	59.0030	
005.366	41.1495	58.8505	
005.414	40.0121	59.9879	
005.492	38.4817	61.5183	
005.551	38.9805	61.0195	
005.609	38.6461	61.3539	
005.669	38.1487	61.8513	
005.737	38.2468	61.7532	
005.802	38.4737	61.5263	
005.868	38.9098	61.0902	
005.919	38.7369	61.2631	
005.984	38.8101	61.1899	
006.050	38.4130	61.5870	
006.116	38.2998	61.7002	
006.176	38.1197	61.8803	
006.230	38.9806	61.0194	
006.303	38.9896	61.0104	
006.365	39.5804	60.4196	
006.419	39.3965	60.6035	
006.487	38.6673	61.3327	
006.547	37.8877	62.1123	
006.614	37.9844	62.0156	
006.674	37.7915	62.2085	
006.736	37.4708	62.5292	
006.800	36.8659	63.1341	
006.864	37.1702	62.8298	
006.924	37.0551	62.9449	
006.987	36.4736	63.5264	
007.048	35.6856	64.3144	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.038	50.0000	50.0000	
000.050	49.8188	50.1812	
000.106	50.0314	49.9686	
000.170	50.3965	49.6035	
000.229	50.4119	49.5881	
000.293	49.2803	50.7197	
000.353	48.6386	51.3614	
000.421	48.0870	51.9130	
000.477	46.9625	53.0375	
000.555	45.4742	54.5258	
000.618	44.9249	55.0751	
000.683	44.7285	55.2715	
000.742	43.4951	56.5049	
000.800	42.2015	57.7985	
000.868	41.3999	58.6001	
000.934	41.0543	58.9457	
000.992	40.0254	59.9746	
001.056	39.1646	60.8354	
001.118	38.9089	61.0911	
001.185	38.2920	61.7081	
001.236	37.2495	62.7505	
001.308	37.6010	62.3990	
001.366	36.5186	63.4814	
001.434	35.0944	64.9056	
001.492	33.6400	66.3600	
001.548	32.9447	67.0553	
001.612	31.8141	68.1859	
001.685	30.5817	69.4183	
001.744	29.6769	70.3231	
7703	 7703	 7703 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.034	50.0000	50.0000	
000.051	49.7372	50.2628	
000.094	48.6533	51.3467	
000.154	47.3383	52.6617	
000.230	45.9625	54.0375	
000.295	44.8113	55.1887	
000.351	44.5119	55.4881	
000.415	43.7092	56.2908	
000.480	42.3202	57.6798	
000.544	41.2600	58.7400	
000.602	40.8293	59.1707	
000.662	39.9751	60.0249	
000.729	38.6805	61.3195	
