time 	 LH 	 RH
7691	 7691	 7691 
000.082	50.0000	50.0000	
000.097	49.7592	50.2408	
000.122	49.3479	50.6521	
000.202	49.5889	50.4111	
000.267	49.8909	50.1091	
000.309	50.6871	49.3129	
000.383	50.8609	49.1391	
000.446	50.5664	49.4336	
000.510	50.1924	49.8076	
000.561	50.3513	49.6487	
000.626	49.4669	50.5331	
000.701	48.8268	51.1732	
000.755	48.2442	51.7558	
000.822	48.0583	51.9418	
000.883	46.9819	53.0181	
000.935	45.9042	54.0958	
001.010	44.9151	55.0849	
001.073	43.9516	56.0484	
001.133	42.5169	57.4831	
001.197	41.0032	58.9968	
001.254	39.5805	60.4195	
001.320	38.3804	61.6196	
001.383	37.1488	62.8512	
001.449	35.7277	64.2723	
001.508	34.2749	65.7251	
001.572	33.0037	66.9963	
001.631	31.7080	68.2920	
001.699	30.8040	69.1960	
001.755	30.2927	69.7073	
001.817	29.4239	70.5761	
7692	 7692	 7692 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.027	50.0000	50.0000	
000.035	48.5370	51.4630	
000.094	47.9339	52.0661	
000.158	47.5117	52.4883	
000.217	46.1505	53.8495	
000.281	45.4366	54.5634	
000.356	45.6848	54.3152	
000.423	44.8132	55.1868	
000.478	43.2994	56.7006	
000.538	42.3977	57.6023	
000.607	42.1032	57.8968	
000.672	41.1887	58.8113	
000.729	40.4677	59.5323	
000.794	40.8447	59.1553	
000.855	41.5574	58.4426	
000.923	40.9682	59.0318	
000.972	40.4393	59.5607	
001.045	40.0232	59.9768	
001.107	39.4544	60.5456	
001.170	38.7924	61.2076	
001.230	38.9169	61.0831	
001.294	39.0016	60.9984	
001.354	39.2803	60.7197	
001.421	39.5208	60.4792	
001.495	39.6564	60.3436	
001.537	39.4558	60.5442	
001.608	39.7269	60.2731	
001.671	40.3152	59.6848	
001.731	40.6782	59.3218	
001.785	40.3456	59.6544	
001.854	40.8530	59.1470	
001.925	41.7297	58.2703	
001.979	42.0761	57.9239	
002.042	41.9137	58.0863	
002.107	41.1717	58.8283	
002.171	40.8403	59.1597	
002.224	40.2962	59.7038	
002.355	39.0542	60.9458	
002.371	37.7089	62.2911	
002.410	37.0723	62.9277	
002.480	36.8346	63.1654	
002.542	35.8369	64.1631	
002.606	35.2020	64.7980	
002.671	35.2292	64.7708	
002.732	34.6508	65.3492	
002.795	33.9648	66.0352	
002.856	33.6161	66.3839	
002.923	34.7954	65.2046	
002.978	34.2434	65.7566	
003.043	33.7055	66.2945	
003.097	33.4237	66.5763	
003.170	34.3463	65.6537	
003.231	33.2837	66.7163	
003.294	32.9238	67.0762	
003.356	31.9877	68.0123	
003.422	31.7486	68.2514	
003.479	31.0184	68.9816	
003.544	30.2629	69.7371	
003.607	29.2969	70.7031	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.025	50.0000	50.0000	
000.044	48.3899	51.6101	
000.084	46.6834	53.3166	
000.143	45.2838	54.7162	
000.220	43.9852	56.0148	
000.281	42.5369	57.4631	
000.349	40.9442	59.0558	
000.394	39.7810	60.2190	
000.468	39.2284	60.7716	
000.533	38.3437	61.6563	
000.596	37.9120	62.0880	
000.654	38.4883	61.5117	
000.718	39.0770	60.9230	
000.779	38.1178	61.8822	
000.848	37.1088	62.8912	
000.905	37.4180	62.5820	
000.969	37.8546	62.1454	
001.031	36.6913	63.3087	
001.098	35.7271	64.2729	
001.156	35.7641	64.2359	
001.221	37.1802	62.8198	
001.281	36.6709	63.3291	
001.348	36.1464	63.8536	
001.404	35.6744	64.3256	
001.469	36.0366	63.9634	
001.532	35.3372	64.6628	
001.596	34.6905	65.3095	
001.658	34.0893	65.9107	
001.713	34.6597	65.3403	
001.781	34.6395	65.3605	
001.848	33.9331	66.0669	
001.904	34.2156	65.7844	
001.970	34.0481	65.9519	
002.032	33.8101	66.1899	
002.097	33.2116	66.7884	
002.150	32.7743	67.2257	
002.220	32.8446	67.1554	
002.281	33.1930	66.8070	
002.348	33.8243	66.1757	
002.404	34.5095	65.4904	
002.470	35.3714	64.6286	
002.531	35.5242	64.4758	
002.590	35.7950	64.2050	
002.658	35.6614	64.3386	
002.720	36.6510	63.3490	
002.781	36.9541	63.0459	
002.850	37.0018	62.9982	
