time 	 LH 	 RH
7701	 7701	 7701 
000.043	50.0000	50.0000	
000.051	48.1051	51.8949	
000.100	46.3391	53.6609	
000.164	44.7782	55.2218	
000.232	43.1830	56.8170	
000.292	41.8070	58.1930	
000.352	40.5842	59.4158	
000.415	39.1619	60.8381	
000.486	38.3657	61.6343	
000.551	37.1095	62.8905	
000.611	36.0370	63.9630	
000.663	34.7733	65.2267	
000.735	34.0551	65.9449	
000.803	33.0452	66.9548	
000.864	32.1344	67.8656	
000.926	31.3847	68.6153	
000.987	30.7811	69.2189	
001.051	29.9949	70.0051	
001.112	28.9307	71.0693	
001.175	28.7188	71.2812	
001.239	28.0159	71.9841	
001.310	27.7874	72.2126	
001.355	26.7823	73.2177	
001.428	26.6021	73.3979	
001.492	26.1679	73.8321	
001.540	25.7958	74.2042	
001.610	24.8225	75.1775	
001.667	24.2070	75.7930	
001.741	24.0783	75.9217	
001.803	23.4499	76.5501	
001.863	22.9689	77.0311	
7703	 7703	 7703 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.051	50.0000	50.0000	
000.069	48.4731	51.5269	
000.113	46.7509	53.2491	
000.183	45.1056	54.8944	
000.243	43.3146	56.6854	
000.313	41.9012	58.0988	
000.367	40.5993	59.4007	
000.432	39.2829	60.7171	
000.496	37.8416	62.1584	
000.559	36.4188	63.5812	
000.620	35.1382	64.8618	
000.684	34.4190	65.5810	
000.745	33.1531	66.8469	
000.812	31.9978	68.0022	
000.868	30.9296	69.0704	
000.933	30.3804	69.6196	
000.996	29.4939	70.5061	
001.060	28.9902	71.0098	
001.119	28.2203	71.7797	
001.183	27.9553	72.0447	
001.243	27.2478	72.7522	
001.311	27.2100	72.7901	
001.369	27.1990	72.8010	
001.432	26.6066	73.3934	
001.497	26.0474	73.9526	
001.560	25.5519	74.4481	
001.621	25.1089	74.8911	
001.685	24.5889	75.4111	
001.745	23.9446	76.0554	
001.806	23.3122	76.6878	
001.867	22.6151	77.3849	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.026	50.0000	50.0000	
000.033	48.3436	51.6564	
000.081	46.6824	53.3176	
000.155	45.0978	54.9022	
000.215	43.7375	56.2625	
000.278	42.1800	57.8200	
000.338	40.9361	59.0639	
000.406	39.7785	60.2215	
000.464	39.0329	60.9671	
000.526	37.8435	62.1565	
000.591	36.8380	63.1620	
000.654	35.7408	64.2592	
000.714	35.1185	64.8815	
000.778	33.9272	66.0728	
000.839	33.1730	66.8270	
000.908	32.1101	67.8899	
000.964	31.6366	68.3634	
001.026	30.6990	69.3010	
001.090	30.3708	69.6292	
001.154	29.2908	70.7092	
001.216	28.8483	71.1517	
001.272	28.0864	71.9136	
001.337	27.6484	72.3517	
001.407	26.8090	73.1910	
001.464	26.5542	73.4458	
001.526	25.9043	74.0957	
001.591	25.4947	74.5053	
001.655	24.7843	75.2157	
001.715	24.1203	75.8797	
001.779	23.5945	76.4055	
001.827	22.8455	77.1545	
7703	 7703	 7703 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.009	50.0000	50.0000	
000.012	50.0000	50.0000	
000.062	46.1993	53.8007	
000.126	44.3520	55.6480	
000.190	42.6684	57.3316	
000.266	41.0867	58.9133	
000.330	39.5370	60.4630	
000.385	38.0504	61.9496	
000.454	36.6008	63.3992	
000.518	35.3075	64.6925	
000.570	34.0834	65.9166	
000.640	32.9617	67.0383	
000.703	31.7600	68.2400	
000.766	30.8004	69.1996	
000.827	29.8186	70.1814	
000.891	28.8964	71.1036	
000.955	28.0719	71.9281	
001.019	27.4099	72.5901	
001.076	26.9506	73.0494	
001.137	26.4326	73.5674	
001.203	25.6676	74.3324	
001.266	25.4470	74.5530	
001.328	25.1199	74.8801	
001.391	24.5286	75.4714	
001.454	23.8669	76.1331	
001.519	23.4769	76.5230	
001.573	23.3991	76.6009	
001.640	23.0868	76.9132	
001.704	22.3058	77.6942	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.047	50.0000	50.0000	
000.061	47.9669	52.0331	
000.119	45.9166	54.0834	
000.175	44.2053	55.7947	
000.238	42.7930	57.2070	
000.301	41.3518	58.6482	
000.366	39.8074	60.1926	
000.427	38.5781	61.4219	
000.490	37.4593	62.5407	
000.554	36.0514	63.9486	
000.618	35.3462	64.6538	
000.674	34.0335	65.9665	
000.738	33.5555	66.4445	
000.802	32.3402	67.6598	
000.866	31.5272	68.4728	
000.927	30.5897	69.4103	
000.977	29.8236	70.1764	
001.054	28.9715	71.0285	
001.117	28.1282	71.8718	
001.172	27.3579	72.6421	
001.231	26.6306	73.3694	
001.304	26.0151	73.9849	
001.368	25.1292	74.8708	
001.420	24.7648	75.2352	
001.489	24.1168	75.8832	
001.554	23.8099	76.1901	
001.618	22.9915	77.0085	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.032	50.0000	50.0000	
000.046	47.9257	52.0743	
000.093	46.3434	53.6566	
000.171	44.3737	55.6263	
000.236	42.7042	57.2958	
000.288	41.0260	58.9740	
000.358	39.6681	60.3319	
000.424	38.0991	61.9009	
000.478	36.6262	63.3738	
000.543	35.2466	64.7534	
000.611	34.0279	65.9721	
000.658	32.8877	67.1123	
000.721	31.5829	68.4171	
000.792	30.5702	69.4298	
000.860	29.6370	70.3630	
000.924	28.5916	71.4084	
000.988	27.4415	72.5585	
001.037	26.5575	73.4425	
001.112	25.9521	74.0479	
001.172	25.1444	74.8556	
001.236	24.4157	75.5843	
001.295	23.6813	76.3187	
001.355	23.2471	76.7529	
001.422	22.4598	77.5402	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.057	50.0000	50.0000	
000.062	48.2059	51.7941	
000.126	46.2495	53.7505	
000.195	44.4223	55.5777	
000.243	42.7513	57.2487	
000.307	41.1410	58.8590	
000.367	39.8484	60.1516	
000.431	38.2539	61.7461	
000.495	37.1966	62.8034	
000.559	35.9673	64.0327	
000.615	34.9320	65.0680	
000.683	33.7369	66.2631	
000.743	32.8006	67.1994	
000.816	32.0229	67.9771	
000.871	31.2034	68.7966	
000.942	30.5952	69.4048	
001.006	29.9688	70.0312	
001.070	29.7889	70.2111	
001.128	28.9164	71.0836	
001.194	28.1106	71.8894	
001.254	27.4261	72.5739	
001.319	27.0766	72.9234	
001.378	26.3540	73.6460	
001.442	25.5318	74.4682	
001.506	24.8940	75.1060	
001.570	24.5400	75.4600	
001.627	23.9505	76.0495	
001.694	23.2025	76.7976	
001.754	22.6438	77.3562	
7703	 7703	 7703 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.030	50.0000	50.0000	
000.043	48.5729	51.4271	
000.081	46.7458	53.2542	
000.151	44.9794	55.0206	
000.212	43.2702	56.7298	
000.276	41.8390	58.1610	
000.337	40.5873	59.4127	
000.388	39.1770	60.8230	
000.452	37.9487	62.0513	
000.516	36.7275	63.2725	
000.576	35.9064	64.0936	
000.640	34.5916	65.4084	
000.700	33.5277	66.4723	
000.764	32.4118	67.5882	
000.823	31.7546	68.2454	
000.888	30.7289	69.2711	
000.952	29.6105	70.3895	
001.016	28.7863	71.2137	
001.076	28.2277	71.7723	
001.140	27.5223	72.4777	
001.200	26.4825	73.5175	
001.264	26.2056	73.7944	
001.324	25.4846	74.5154	
001.388	25.3945	74.6055	
001.452	24.6058	75.3942	
001.516	24.5166	75.4834	
001.576	23.8913	76.1087	
001.640	23.5099	76.4901	
001.700	23.0188	76.9812	
001.764	22.6290	77.3710	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.020	50.0000	50.0000	
000.024	50.0000	50.0000	
000.072	46.2669	53.7331	
000.141	44.4381	55.5619	
000.202	42.9338	57.0662	
000.266	41.5716	58.4284	
000.331	40.2833	59.7167	
000.394	38.6466	61.3534	
000.455	37.5313	62.4687	
000.520	36.2197	63.7803	
000.578	35.2881	64.7119	
000.640	33.8962	66.1038	
000.702	32.9920	67.0080	
000.766	31.7659	68.2341	
000.829	31.2163	68.7837	
000.893	30.0796	69.9203	
000.953	29.3157	70.6843	
001.017	28.2990	71.7010	
001.078	27.7708	72.2292	
001.141	26.9960	73.0040	
001.202	26.3149	73.6851	
001.266	25.7857	74.2143	
001.330	25.2052	74.7948	
001.394	24.7524	75.2476	
001.456	24.0830	75.9170	
001.520	23.9071	76.0929	
001.578	23.3789	76.6211	
001.641	23.0276	76.9724	
001.701	22.5794	77.4206	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.056	50.0000	50.0000	
000.070	48.3263	51.6737	
000.127	46.6376	53.3624	
000.191	45.1220	54.8780	
000.256	43.9922	56.0078	
000.319	42.7438	57.2562	
000.381	41.7927	58.2073	
000.440	40.6146	59.3854	
000.507	39.6706	60.3294	
000.566	38.8050	61.1950	
000.630	37.9249	62.0751	
000.690	36.6498	63.3502	
000.755	35.7560	64.2440	
000.817	35.2516	64.7484	
000.882	34.4910	65.5090	
000.940	33.5604	66.4396	
001.008	32.4490	67.5510	
001.066	31.6815	68.3185	
001.130	30.8127	69.1873	
001.190	29.7859	70.2141	
001.255	28.9500	71.0500	
001.318	28.2036	71.7964	
001.382	27.6330	72.3670	
001.442	26.8812	73.1188	
001.506	26.2587	73.7413	
001.566	25.5505	74.4495	
001.630	25.0019	74.9981	
001.691	24.3726	75.6274	
001.754	24.1030	75.8970	
001.818	23.5346	76.4654	
001.882	22.9769	77.0231	
7703	 7703	 7703 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.061	50.0000	50.0000	
000.077	48.3792	51.6208	
000.116	46.6697	53.3303	
000.191	45.2974	54.7026	
000.255	43.7540	56.2460	
000.318	42.2713	57.7287	
000.378	40.9090	59.0910	
000.444	39.6490	60.3510	
000.501	38.5690	61.4310	
000.557	37.3859	62.6141	
000.613	36.3201	63.6799	
000.677	35.2058	64.7942	
000.741	34.3009	65.6991	
000.805	33.1426	66.8574	
000.865	32.4074	67.5926	
000.929	31.5298	68.4702	
000.989	30.7921	69.2079	
001.057	30.0494	69.9506	
001.113	29.4410	70.5590	
001.177	28.6932	71.3068	
001.241	27.8800	72.1200	
001.305	27.4592	72.5408	
001.376	27.1282	72.8718	
001.441	26.4904	73.5096	
001.501	25.6726	74.3274	
001.569	26.0567	73.9433	
001.625	25.5309	74.4691	
001.690	25.1992	74.8008	
001.755	24.3714	75.6286	
