time 	 LH 	 RH
7701	 7701	 7701 
000.092	50.0000	50.0000	
000.107	50.6225	49.3775	
000.128	50.6921	49.3079	
000.204	50.9299	49.0701	
000.275	50.9752	49.0248	
000.316	51.3175	48.6825	
000.390	51.0905	48.9095	
000.449	51.2090	48.7910	
000.512	51.2136	48.7864	
000.576	51.1956	48.8044	
000.633	51.0485	48.9515	
000.685	50.3104	49.6896	
000.749	49.1081	50.8919	
000.813	48.1809	51.8191	
000.888	47.5245	52.4755	
000.949	46.5373	53.4627	
001.012	45.2174	54.7826	
001.076	45.0447	54.9553	
001.140	44.7933	55.2067	
001.200	44.8281	55.1719	
001.257	44.3247	55.6753	
001.328	45.2811	54.7189	
001.387	45.6552	54.3448	
001.434	45.9702	54.0298	
001.497	46.3745	53.6255	
001.576	46.6033	53.3967	
001.632	46.2485	53.7515	
001.687	46.2608	53.7392	
001.749	47.6122	52.3878	
001.827	47.3504	52.6496	
001.874	46.6736	53.3264	
001.948	47.1083	52.8917	
002.012	47.8724	52.1276	
002.076	47.2623	52.7377	
002.126	46.1153	53.8847	
002.200	45.6841	54.3159	
002.257	45.1767	54.8233	
002.327	44.3319	55.6681	
002.386	43.9472	56.0528	
002.446	43.1803	56.8197	
002.510	41.8029	58.1971	
002.575	40.6652	59.3349	
002.639	40.3652	59.6348	
002.699	39.2367	60.7633	
002.770	37.6916	62.3084	
002.815	36.1211	63.8789	
002.873	34.6870	65.3130	
002.938	33.4016	66.5984	
003.013	32.4443	67.5557	
003.075	31.7427	68.2573	
003.139	30.7485	69.2515	
003.200	29.9044	70.0956	
003.264	29.5471	70.4529	
003.329	28.7675	71.2325	
003.389	27.6819	72.3181	
003.448	26.5358	73.4642	
003.511	25.7209	74.2791	
003.601	24.9976	75.0024	
003.627	24.4088	75.5912	
003.699	23.6464	76.3536	
003.763	22.8968	77.1032	
003.826	22.2994	77.7006	
003.886	21.8991	78.1009	
003.947	20.9978	79.0022	
004.012	20.2077	79.7923	
004.075	19.5282	80.4718	
7703	 7703	 7703 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.025	50.0000	50.0000	
000.032	47.8140	52.1860	
000.087	46.1150	53.8850	
000.151	45.4884	54.5116	
000.215	44.2220	55.7780	
000.275	42.6861	57.3139	
000.335	41.9629	58.0371	
000.399	41.4692	58.5308	
000.531	40.6846	59.3154	
000.538	39.9007	60.0993	
000.601	40.2075	59.7925	
000.665	39.9138	60.0862	
000.729	39.7420	60.2580	
000.789	40.1046	59.8954	
000.840	39.9969	60.0031	
000.900	39.8450	60.1550	
000.977	39.7282	60.2718	
001.041	39.4741	60.5259	
001.101	39.1611	60.8389	
001.164	38.7364	61.2636	
001.229	38.9916	61.0084	
001.290	38.6917	61.3083	
001.349	37.8413	62.1587	
001.413	37.9730	62.0270	
001.477	38.1886	61.8114	
001.540	38.6842	61.3158	
001.601	39.9212	60.0788	
001.664	40.1438	59.8562	
001.729	39.5384	60.4616	
001.789	38.8044	61.1956	
001.849	39.3953	60.6047	
001.912	40.1893	59.8107	
001.978	40.5131	59.4869	
002.029	40.1021	59.8979	
002.087	40.3959	59.6041	
002.151	41.3662	58.6338	
002.215	41.7894	58.2106	
002.275	40.7919	59.2081	
002.335	39.5108	60.4892	
002.402	39.4293	60.5707	
002.478	39.5319	60.4681	
002.541	39.1654	60.8346	
002.603	38.1400	61.8600	
002.652	37.5914	62.4086	
002.722	37.8686	62.1314	
002.789	38.7413	61.2587	
002.849	38.6630	61.3370	
002.913	37.6516	62.3484	
002.977	37.2932	62.7068	
003.041	37.8707	62.1293	
003.100	38.0345	61.9655	
003.165	37.6595	62.3405	
003.228	37.1719	62.8281	
003.289	37.8490	62.1510	
003.349	38.6126	61.3874	
003.412	39.0665	60.9335	
003.477	39.3008	60.6992	
003.542	40.2621	59.7379	
003.601	41.6438	58.3562	
003.665	42.5443	57.4557	
003.729	42.7931	57.2069	
003.789	43.5963	56.4037	
003.849	45.1842	54.8158	
003.913	46.2086	53.7914	
003.977	47.3497	52.6503	
004.041	47.4359	52.5641	
004.101	46.4679	53.5321	
004.164	46.2210	53.7790	
004.228	46.5721	53.4279	
004.289	46.0734	53.9266	
004.349	44.8665	55.1335	
004.412	44.6683	55.3317	
004.477	44.9395	55.0605	
004.540	44.0759	55.9241	
004.600	42.8073	57.1927	
004.664	41.6337	58.3663	
004.728	40.6344	59.3656	
004.788	40.3955	59.6045	
004.849	41.0658	58.9342	
004.912	41.6979	58.3021	
004.977	41.5907	58.4093	
005.041	41.0758	58.9242	
005.100	40.7830	59.2170	
005.167	41.0032	58.9968	
005.229	40.9926	59.0074	
005.288	40.5203	59.4797	
005.349	40.0877	59.9123	
005.413	41.1813	58.8187	
005.477	41.5166	58.4834	
005.542	40.8769	59.1231	
005.601	40.0924	59.9076	
005.666	40.5771	59.4229	
005.729	40.9593	59.0407	
005.780	40.7608	59.2392	
005.848	40.1913	59.8087	
005.913	41.0809	58.9191	
005.977	41.9148	58.0852	
006.040	42.9719	57.0281	
006.101	43.1983	56.8017	
006.167	43.4669	56.5331	
006.218	44.4816	55.5184	
006.276	45.7018	54.2982	
006.348	46.1940	53.8060	
006.412	46.8761	53.1239	
006.478	47.3255	52.6745	
006.540	48.5695	51.4305	
006.603	49.1618	50.8382	
006.664	49.2932	50.7068	
006.728	50.2109	49.7891	
006.789	51.4017	48.5983	
006.849	52.1021	47.8979	
006.913	52.4008	47.5992	
006.977	52.9598	47.0402	
007.040	53.9661	46.0339	
7692	 7692	 7692 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.030	50.0000	50.0000	
000.040	49.6190	50.3810	
000.086	48.3628	51.6372	
000.161	46.8855	53.1145	
000.224	45.3601	54.6399	
000.288	44.9916	55.0084	
000.337	44.2272	55.7728	
000.412	43.5520	56.4480	
000.475	42.4961	57.5039	
000.539	43.0670	56.9331	
000.585	43.3732	56.6268	
000.644	43.7705	56.2295	
000.724	44.0754	55.9246	
000.788	45.5726	54.4274	
000.845	45.6774	54.3226	
000.910	45.2055	54.7945	
000.974	44.8199	55.1801	
001.025	44.2586	55.7414	
001.084	43.1716	56.8284	
001.144	41.8742	58.1258	
001.208	41.2550	58.7450	
001.272	39.9382	60.0618	
001.336	38.4279	61.5721	
001.397	36.8886	63.1114	
001.461	35.9169	64.0831	
001.525	34.3342	65.6658	
001.585	32.8150	67.1850	
001.645	31.5420	68.4580	
001.708	30.6918	69.3082	
001.773	29.6162	70.3838	
001.837	28.4900	71.5100	
001.897	27.6622	72.3378	
001.960	26.7400	73.2600	
002.038	26.1260	73.8740	
002.098	25.6980	74.3020	
002.159	25.5191	74.4809	
002.222	25.0409	74.9591	
002.287	24.8522	75.1478	
002.350	26.3661	73.6339	
002.410	26.8219	73.1781	
002.473	26.2572	73.7428	
002.538	25.8930	74.1070	
002.598	28.2266	71.7734	
002.659	28.0621	71.9379	
002.722	27.5662	72.4338	
002.786	28.3177	71.6823	
002.850	31.6063	68.3937	
002.909	33.9886	66.0114	
002.974	34.6139	65.3861	
003.037	35.2488	64.7512	
003.092	38.0728	61.9272	
003.158	40.5088	59.4912	
003.223	42.0275	57.9725	
003.288	43.1601	56.8399	
003.352	45.1264	54.8736	
003.412	47.1046	52.8954	
003.476	48.3224	51.6776	
003.539	48.3700	51.6300	
003.585	47.7951	52.2049	
003.644	47.5088	52.4912	
003.708	46.8844	53.1156	
003.773	46.7779	53.2221	
003.837	46.3708	53.6292	
003.897	46.4966	53.5034	
003.974	46.3394	53.6606	
004.038	46.3742	53.6258	
004.099	46.6639	53.3361	
004.159	46.7326	53.2674	
004.209	46.8764	53.1236	
004.272	46.8410	53.1590	
004.336	46.5979	53.4021	
004.396	47.0621	52.9379	
004.474	47.5547	52.4453	
004.539	47.7606	52.2394	
004.598	47.5662	52.4338	
004.658	47.7915	52.2085	
004.722	48.4982	51.5018	
004.786	47.8494	52.1506	
004.851	47.3160	52.6840	
004.911	47.7533	52.2467	
004.974	49.6097	50.3903	
005.039	50.0846	49.9154	
005.099	48.8113	51.1887	
005.159	47.3232	52.6768	
005.215	47.6729	52.3271	
005.287	47.9647	52.0353	
005.350	47.1563	52.8437	
005.410	45.9671	54.0329	
005.474	45.8653	54.1347	
005.538	45.6525	54.3475	
005.598	45.1086	54.8914	
005.659	44.5501	55.4499	
005.722	45.2782	54.7218	
005.790	45.1209	54.8791	
005.853	44.5207	55.4793	
005.904	44.3168	55.6832	
005.976	45.7692	54.2308	
006.040	46.3850	53.6150	
006.085	45.6125	54.3875	
006.163	45.4836	54.5164	
006.217	47.0108	52.9892	
006.288	48.3312	51.6688	
006.337	47.3785	52.6215	
006.412	46.2933	53.7067	
006.461	46.6113	53.3887	
006.525	47.9932	52.0068	
006.600	47.3237	52.6763	
006.659	46.2376	53.7624	
